,date,open,high,low,close,volume,120,180,240
0,2018-10-30,4.56,4.62,4.38,4.57,8557378.0,,,
1,2018-10-31,4.57,4.7,4.57,4.63,9036122.0,,,
2,2018-11-01,4.64,5.09,4.63,4.81,23280280.0,,,
3,2018-11-02,4.76,5.0,4.76,4.9,18003007.0,,,
4,2018-11-05,4.87,5.13,4.87,5.03,19047086.0,,,
5,2018-11-06,4.96,5.02,4.84,4.96,10276510.0,,,
6,2018-11-07,4.94,5.3,4.9,5.01,17952056.0,,,
7,2018-11-08,5.07,5.25,4.96,5.1,16979552.0,,,
8,2018-11-09,5.08,5.18,4.91,5.15,11758765.0,,,
9,2018-11-12,5.06,5.44,5.06,5.38,20408581.0,,,
10,2018-11-13,5.3,5.85,5.21,5.52,24747764.0,,,
11,2018-11-14,5.46,5.73,5.36,5.51,20379547.0,,,
12,2018-11-15,5.49,5.64,5.4,5.61,12708259.0,,,
13,2018-11-16,5.61,5.65,5.5,5.51,15668088.0,,,
14,2018-11-19,5.43,5.5,5.27,5.43,12338561.0,,,
15,2018-11-20,5.33,5.56,5.32,5.33,9222162.0,,,
16,2018-11-21,5.2,5.51,5.18,5.44,9109950.0,,,
17,2018-11-22,5.43,5.78,5.42,5.59,19940073.0,,,
18,2018-11-23,5.63,5.98,5.5,5.72,32827254.0,,,
19,2018-11-26,5.59,5.91,5.32,5.8,27190683.0,,,
20,2018-11-27,5.76,6.15,5.7,6.09,31810199.0,,,
21,2018-11-28,5.95,5.98,5.48,5.74,23181227.0,,,
22,2018-11-29,5.71,5.96,5.47,5.5,17070308.0,,,
23,2018-11-30,5.4,5.46,5.15,5.33,15013930.0,,,
24,2018-12-03,5.45,5.64,5.39,5.55,16188564.0,,,
25,2018-12-04,5.52,5.6,5.49,5.58,11073381.0,,,
26,2018-12-05,5.51,5.83,5.4,5.77,18459922.0,,,
27,2018-12-06,5.74,5.77,5.36,5.4,12976726.0,,,
28,2018-12-07,5.42,5.94,5.42,5.94,12157446.0,,,
29,2018-12-10,6.0,6.18,5.72,5.8,31684105.0,,,
30,2018-12-11,5.69,6.27,5.69,6.15,31321541.0,,,
31,2018-12-12,6.04,6.1,5.88,6.01,20960421.0,,,
32,2018-12-13,5.82,5.97,5.77,5.92,14584463.0,,,
33,2018-12-14,5.86,5.91,5.56,5.56,14652056.0,,,
34,2018-12-17,5.48,5.68,5.42,5.56,7552323.0,,,
35,2018-12-18,5.5,5.63,5.4,5.53,6243264.0,,,
36,2018-12-19,5.53,5.69,5.45,5.46,7050472.0,,,
37,2018-12-20,5.35,5.7,5.35,5.6,8551098.0,,,
38,2018-12-21,5.56,5.66,5.5,5.6,6626355.0,,,
39,2018-12-24,5.6,5.7,5.47,5.69,8293075.0,,,
40,2018-12-25,5.6,5.67,5.32,5.64,11851189.0,,,
41,2018-12-26,5.58,5.68,5.45,5.45,6644132.0,,,
42,2018-12-27,5.58,5.59,5.0,5.18,6481227.0,,,
43,2018-12-28,5.19,5.33,5.0,5.17,6708623.0,,,
44,2019-01-02,5.21,5.27,5.1,5.17,4258420.0,,,
45,2019-01-03,5.17,5.31,5.04,5.07,5747745.0,,,
46,2019-01-04,5.0,5.19,4.92,5.17,8721314.0,,,
47,2019-01-07,5.2,5.46,5.17,5.36,9388384.0,,,
48,2019-01-08,5.33,5.49,5.28,5.47,9889040.0,,,
49,2019-01-09,5.5,5.59,5.37,5.41,11674120.0,,,
50,2019-01-10,5.38,5.54,5.36,5.41,8237390.0,,,
51,2019-01-11,5.39,5.47,5.35,5.42,7254849.0,,,
52,2019-01-14,5.38,5.42,5.14,5.23,9405765.0,,,
53,2019-01-15,5.21,5.35,5.15,5.35,8117263.0,,,
54,2019-01-16,5.38,5.54,5.32,5.41,10623849.0,,,
55,2019-01-17,5.41,5.5,5.31,5.47,8945662.0,,,
56,2019-01-18,5.5,5.55,5.19,5.3,9146197.0,,,
57,2019-01-21,5.3,5.35,5.22,5.26,6073797.0,,,
58,2019-01-22,5.28,5.37,5.15,5.24,6771633.0,,,
59,2019-01-23,5.06,5.19,5.06,5.12,4519238.0,,,
60,2019-01-24,5.13,5.18,5.06,5.07,5680894.0,,,
61,2019-01-25,5.07,5.09,4.86,4.87,6959250.0,,,
62,2019-01-28,4.93,4.96,4.76,4.78,5519094.0,,,
63,2019-01-29,4.77,4.78,4.4,4.55,8020351.0,,,
64,2019-01-30,4.47,4.64,4.42,4.47,5106979.0,,,
65,2019-01-31,4.36,4.44,4.02,4.05,11224528.0,,,
66,2019-02-01,4.05,4.46,4.05,4.46,5448338.0,,,
67,2019-02-11,4.5,4.6,4.45,4.55,10612507.0,,,
68,2019-02-12,4.53,4.64,4.53,4.63,8484735.0,,,
69,2019-02-13,4.59,4.78,4.58,4.71,9864283.0,,,
70,2019-02-14,4.69,4.9,4.62,4.79,8200543.0,,,
71,2019-02-15,4.79,4.86,4.73,4.8,6496624.0,,,
72,2019-02-18,4.86,5.06,4.81,5.03,9627175.0,,,
73,2019-02-19,5.11,5.12,4.9,4.97,9476714.0,,,
74,2019-02-20,4.94,5.15,4.92,5.08,8924035.0,,,
75,2019-02-21,5.03,5.12,4.9,4.99,10917433.0,,,
76,2019-02-22,4.94,5.12,4.92,5.11,11177388.0,,,
77,2019-02-25,5.2,5.4,5.11,5.36,15550658.0,,,
78,2019-02-26,5.39,5.49,5.25,5.3,15638813.0,,,
79,2019-02-27,5.31,5.49,5.27,5.46,13897368.0,,,
80,2019-02-28,5.41,5.51,5.32,5.35,9952552.0,,,
81,2019-03-01,5.37,5.45,5.28,5.41,9478928.0,,,
82,2019-03-04,5.6,5.87,5.5,5.57,19745142.0,,,
83,2019-03-05,5.69,6.13,5.54,6.13,22133383.0,,,
84,2019-03-06,6.46,6.59,6.07,6.25,39327566.0,,,
85,2019-03-07,6.39,6.88,6.22,6.46,29478969.0,,,
86,2019-03-08,6.14,6.46,5.95,6.16,21927622.0,,,
87,2019-03-11,6.2,6.51,6.2,6.45,18614414.0,,,
88,2019-03-12,6.5,6.95,6.45,6.74,27747522.0,,,
89,2019-03-13,6.72,6.74,6.16,6.24,21645250.0,,,
90,2019-03-14,6.13,6.32,5.87,6.06,14140097.0,,,
91,2019-03-15,6.16,6.22,6.02,6.17,10849283.0,,,
92,2019-03-18,6.17,6.24,6.01,6.24,11125494.0,,,
93,2019-03-19,6.21,6.35,6.14,6.18,8935736.0,,,
94,2019-03-20,6.19,6.28,5.98,6.14,9631599.0,,,
95,2019-03-21,6.21,6.28,6.11,6.21,9727267.0,,,
96,2019-03-22,6.21,6.83,6.17,6.83,33987933.0,,,
97,2019-03-25,7.19,7.51,6.82,6.9,51874237.0,,,
98,2019-03-26,6.68,6.79,6.26,6.35,27887525.0,,,
99,2019-03-27,6.35,6.38,5.97,6.04,18429579.0,,,
100,2019-03-28,6.0,6.03,5.75,5.77,16281572.0,,,
101,2019-03-29,5.87,6.07,5.61,5.97,14712445.0,,,
102,2019-04-01,6.02,6.24,5.98,6.21,14510286.0,,,
103,2019-04-02,6.23,6.48,6.19,6.27,13670591.0,,,
104,2019-04-03,6.38,6.58,6.26,6.39,12770456.0,,,
105,2019-04-04,6.39,6.43,6.25,6.29,10104160.0,,,
106,2019-04-08,6.27,6.32,5.96,6.17,16136216.0,,,
107,2019-04-09,6.11,6.25,6.06,6.23,11519587.0,,,
108,2019-04-10,6.16,6.31,6.04,6.24,11962938.0,,,
109,2019-04-11,6.23,6.29,6.06,6.1,9012544.0,,,
110,2019-04-12,6.06,6.09,5.82,5.91,12217356.0,,,
111,2019-04-15,5.96,6.05,5.84,5.85,8402414.0,,,
112,2019-04-16,5.83,6.12,5.73,6.1,9188289.0,,,
113,2019-04-17,6.07,6.35,6.07,6.25,11679290.0,,,
114,2019-04-18,6.23,6.27,6.11,6.19,9897318.0,,,
115,2019-04-19,6.55,6.55,6.18,6.24,18469245.0,,,
116,2019-04-22,6.24,6.24,5.96,5.96,12897109.0,,,
117,2019-04-23,5.94,6.01,5.76,5.91,8445650.0,,,
