,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.95,8.46,7.93,8.14,4368576.0,,,
1,2018-11-14,8.29,8.54,8.22,8.5,6207881.0,,,
2,2018-11-15,8.34,8.54,8.29,8.54,4798196.0,,,
3,2018-11-16,8.43,8.43,7.91,8.24,5143109.0,,,
4,2018-11-19,8.19,8.28,8.08,8.21,2291533.0,,,
5,2018-11-20,8.15,8.19,8.03,8.03,2034400.0,,,
6,2018-11-21,8.01,8.18,7.95,8.1,1499860.0,,,
7,2018-11-22,8.16,8.27,8.06,8.21,2035840.0,,,
8,2018-11-23,8.14,8.18,7.84,7.87,2764900.0,,,
9,2018-11-26,7.74,7.9,7.44,7.69,1977613.0,,,
10,2018-11-27,7.67,7.76,7.59,7.63,907700.0,,,
11,2018-11-28,7.59,7.69,7.47,7.68,1067680.0,,,
12,2018-11-29,7.71,7.81,7.41,7.41,1116600.0,,,
13,2018-11-30,7.46,8.16,7.41,8.16,4203220.0,,,
14,2018-12-03,8.57,8.57,8.29,8.35,7715600.0,,,
15,2018-12-04,8.18,8.33,8.14,8.32,4244198.0,,,
16,2018-12-05,8.13,8.26,8.02,8.18,2561730.0,,,
17,2018-12-06,8.14,8.14,7.76,7.79,3174468.0,,,
18,2018-12-07,7.81,7.87,7.62,7.68,1743238.0,,,
19,2018-12-10,7.71,7.74,7.46,7.56,1226920.0,,,
20,2018-12-11,7.55,8.32,7.54,8.32,4272598.0,,,
21,2018-12-12,8.32,8.81,8.15,8.61,11087200.0,,,
22,2018-12-13,8.46,8.94,8.25,8.71,8187916.0,,,
23,2018-12-14,8.58,8.61,8.2,8.35,4916896.0,,,
24,2018-12-17,8.34,8.69,8.15,8.52,4773279.0,,,
25,2018-12-18,8.4,8.57,8.21,8.46,3332280.0,,,
26,2018-12-19,8.49,8.94,8.31,8.94,8857232.0,,,
27,2018-12-20,8.79,8.9,8.61,8.73,5609899.0,,,
28,2018-12-21,8.83,8.95,8.49,8.71,4721702.0,,,
29,2018-12-24,8.59,8.68,8.26,8.49,3553538.0,,,
30,2018-12-25,8.36,8.42,7.71,8.14,3855380.0,,,
31,2018-12-26,8.08,8.25,8.02,8.14,2526280.0,,,
32,2018-12-27,8.36,8.36,7.73,7.75,2872420.0,,,
33,2018-12-28,7.78,7.99,7.77,7.88,2071000.0,,,
34,2019-01-02,7.89,8.0,7.79,7.95,1800300.0,,,
35,2019-01-03,7.86,8.16,7.73,7.96,2556076.0,,,
36,2019-01-04,7.86,8.21,7.78,8.19,2829076.0,,,
37,2019-01-07,8.21,8.49,8.11,8.39,3291672.0,,,
38,2019-01-08,8.29,8.46,8.18,8.39,2527956.0,,,
39,2019-01-09,8.36,8.75,8.25,8.57,5182392.0,,,
40,2019-01-10,8.46,8.54,8.29,8.3,3129180.0,,,
41,2019-01-11,8.43,8.56,8.24,8.48,2981360.0,,,
42,2019-01-14,8.36,8.45,8.29,8.36,1560620.0,,,
43,2019-01-15,8.36,8.49,8.29,8.43,2101100.0,,,
44,2019-01-16,8.43,8.48,8.26,8.29,2187600.0,,,
45,2019-01-17,8.25,8.59,8.14,8.44,3457600.0,,,
46,2019-01-18,8.39,9.29,8.22,8.97,11397098.0,,,
47,2019-01-21,8.89,8.96,8.64,8.79,7739322.0,,,
48,2019-01-22,8.75,8.76,8.43,8.45,4603930.0,,,
49,2019-01-23,8.41,8.61,8.39,8.53,2451610.0,,,
50,2019-01-24,8.53,8.55,8.19,8.19,4877500.0,,,
51,2019-01-25,8.24,8.26,8.02,8.16,3073290.0,,,
52,2019-01-28,8.16,8.29,8.08,8.23,1742840.0,,,
53,2019-01-29,8.18,8.28,7.89,7.94,2383200.0,,,
54,2019-01-30,7.91,8.03,7.88,7.96,1307940.0,,,
55,2019-01-31,7.89,8.06,7.53,7.66,1977756.0,,,
56,2019-02-01,7.74,7.96,7.59,7.94,1589110.0,,,
57,2019-02-11,7.94,8.04,7.79,8.04,1977790.0,,,
58,2019-02-12,8.01,8.49,8.01,8.25,4226242.0,,,
59,2019-02-13,8.14,8.29,8.09,8.24,3160339.0,,,
60,2019-02-14,8.23,8.26,8.15,8.21,2130598.0,,,
61,2019-02-15,8.21,8.31,8.17,8.18,2170101.0,,,
62,2019-02-18,8.28,8.49,8.22,8.48,4013778.0,,,
63,2019-02-19,8.48,8.76,8.39,8.54,4420937.0,,,
64,2019-02-20,8.54,8.98,8.44,8.89,8482796.0,,,
65,2019-02-21,8.88,9.13,8.71,8.79,8503554.0,,,
66,2019-02-22,8.73,8.99,8.72,8.93,4967676.0,,,
67,2019-02-25,8.91,9.49,8.87,9.32,9229454.0,,,
68,2019-02-26,9.33,9.76,9.09,9.43,9418859.0,,,
69,2019-02-27,9.26,9.71,9.19,9.36,6518881.0,,,
70,2019-02-28,9.49,9.5,9.25,9.47,4710723.0,,,
71,2019-03-01,9.61,9.7,9.22,9.59,7691351.0,,,
72,2019-03-04,9.59,9.79,9.46,9.59,8116619.0,,,
73,2019-03-05,9.49,9.64,9.35,9.61,5918822.0,,,
74,2019-03-06,9.54,9.78,9.5,9.69,6800526.0,,,
75,2019-03-07,9.64,9.96,9.53,9.78,7993507.0,,,
76,2019-03-08,9.52,9.56,8.94,8.95,7212280.0,,,
77,2019-03-11,8.99,9.28,8.98,9.25,4151542.0,,,
78,2019-03-12,9.41,9.53,9.22,9.37,5269453.0,,,
79,2019-03-13,9.46,9.57,8.99,9.09,4352685.0,,,
80,2019-03-14,9.01,9.26,8.79,8.97,3259393.0,,,
