,date,open,high,low,close,volume,10,60,250
0,2020-03-18,1.76,1.77,1.72,1.73,44297081.0,,,
1,2020-03-19,1.72,1.74,1.69,1.73,37897458.0,,,
2,2020-03-20,1.74,1.74,1.72,1.74,25555913.0,,,
3,2020-03-23,1.72,1.73,1.7,1.72,37384200.0,,,
4,2020-03-24,1.72,1.74,1.72,1.73,33498002.0,,,
5,2020-03-25,1.76,1.76,1.74,1.74,28161489.0,,,
6,2020-03-26,1.74,1.74,1.72,1.72,22404492.0,,,
7,2020-03-27,1.74,1.76,1.72,1.74,29732537.0,,,
8,2020-03-30,1.72,1.74,1.7,1.73,34346978.0,,,
9,2020-03-31,1.73,1.74,1.72,1.72,22046810.0,1.73,,
10,2020-04-01,1.71,1.73,1.7,1.71,23654900.0,1.7280000000000002,,
11,2020-04-02,1.7,1.73,1.7,1.73,29412320.0,1.7280000000000002,,
12,2020-04-03,1.74,1.74,1.7,1.72,21793002.0,1.7260000000000002,,
13,2020-04-07,1.73,1.74,1.73,1.73,21400810.0,1.7270000000000003,,
14,2020-04-08,1.73,1.74,1.72,1.73,24223472.0,1.7270000000000003,,
15,2020-04-09,1.74,1.76,1.73,1.75,32341875.0,1.7280000000000004,,
16,2020-04-10,1.75,1.75,1.72,1.72,29739600.0,1.7280000000000004,,
17,2020-04-13,1.72,1.73,1.71,1.71,17120560.0,1.7250000000000008,,
18,2020-04-14,1.71,1.73,1.71,1.72,16131751.0,1.7240000000000006,,
19,2020-04-15,1.72,1.73,1.71,1.72,18206477.0,1.7240000000000006,,
20,2020-04-16,1.71,1.72,1.7,1.72,21030000.0,1.7250000000000003,,
21,2020-04-17,1.72,1.73,1.71,1.72,17289185.0,1.7240000000000002,,
22,2020-04-20,1.72,1.73,1.71,1.72,22814000.0,1.7240000000000002,,
23,2020-04-21,1.72,1.72,1.7,1.71,26610617.0,1.7220000000000002,,
24,2020-04-22,1.71,1.72,1.7,1.72,23870196.0,1.721,,
