,date,open,high,low,close,volume,120,180,240
0,2018-11-13,4.57,4.77,4.55,4.72,17058751.0,,,
1,2018-11-14,4.72,4.99,4.68,4.92,28797969.0,,,
2,2018-11-15,4.84,4.95,4.81,4.94,18895138.0,,,
3,2018-11-16,4.92,4.94,4.81,4.89,19699861.0,,,
4,2018-11-19,4.87,4.87,4.75,4.82,15681078.0,,,
5,2018-11-20,4.8,4.83,4.7,4.7,11370106.0,,,
6,2018-11-21,4.66,4.82,4.61,4.77,10395152.0,,,
7,2018-11-22,4.81,4.82,4.71,4.74,7473453.0,,,
8,2018-11-23,4.74,4.95,4.71,4.74,21131980.0,,,
9,2018-11-26,4.81,4.82,4.59,4.64,9257362.0,,,
10,2018-11-27,4.68,4.73,4.56,4.65,8676157.0,,,
11,2018-11-28,4.65,4.75,4.61,4.71,8759400.0,,,
12,2018-11-29,4.77,4.78,4.51,4.54,11395855.0,,,
13,2018-11-30,4.54,4.62,4.47,4.58,10584355.0,,,
14,2018-12-03,4.72,4.79,4.69,4.72,16200824.0,,,
15,2018-12-04,4.72,4.74,4.64,4.71,10800144.0,,,
16,2018-12-05,4.62,4.68,4.59,4.64,5992100.0,,,
17,2018-12-06,4.64,4.64,4.52,4.54,9853251.0,,,
18,2018-12-07,4.54,4.82,4.52,4.72,15820951.0,,,
19,2018-12-10,4.71,4.76,4.62,4.64,7824520.0,,,
20,2018-12-11,4.62,4.78,4.62,4.64,9350773.0,,,
21,2018-12-12,4.7,4.78,4.68,4.72,10372030.0,,,
22,2018-12-13,4.73,4.77,4.69,4.7,12176300.0,,,
23,2018-12-14,4.71,4.73,4.53,4.57,8663316.0,,,
24,2018-12-17,4.57,4.6,4.44,4.56,9511427.0,,,
25,2018-12-18,4.54,4.57,4.48,4.54,8098330.0,,,
26,2018-12-19,4.56,4.56,4.42,4.45,8482890.0,,,
27,2018-12-20,4.45,4.51,4.44,4.49,7118467.0,,,
28,2018-12-21,4.46,4.52,4.42,4.45,5624900.0,,,
29,2018-12-24,4.46,4.64,4.43,4.6,13064922.0,,,
30,2018-12-25,4.53,4.57,4.44,4.51,10168400.0,,,
31,2018-12-26,4.47,4.68,4.47,4.63,14317252.0,,,
32,2018-12-27,4.72,4.76,4.62,4.63,13925395.0,,,
33,2018-12-28,4.63,4.84,4.63,4.82,22677262.0,,,
34,2019-01-02,4.77,4.8,4.68,4.71,12777270.0,,,
35,2019-01-03,4.69,4.78,4.69,4.71,15497455.0,,,
36,2019-01-04,4.67,4.8,4.67,4.8,13736956.0,,,
37,2019-01-07,4.79,4.87,4.76,4.82,14374736.0,,,
38,2019-01-08,4.84,4.94,4.79,4.89,17719402.0,,,
39,2019-01-09,4.9,4.99,4.82,4.84,18911793.0,,,
40,2019-01-10,4.84,4.92,4.83,4.86,14664286.0,,,
41,2019-01-11,4.83,4.91,4.82,4.89,10197849.0,,,
42,2019-01-14,4.88,4.94,4.87,4.89,10135301.0,,,
43,2019-01-15,4.89,4.93,4.84,4.89,17353035.0,,,
44,2019-01-16,4.91,5.02,4.87,4.92,15480803.0,,,
45,2019-01-17,4.9,4.95,4.87,4.88,8925499.0,,,
46,2019-01-18,4.9,4.92,4.83,4.87,15151228.0,,,
47,2019-01-21,4.86,4.91,4.85,4.86,10390238.0,,,
48,2019-01-22,4.88,4.88,4.73,4.77,12306106.0,,,
49,2019-01-23,4.77,4.8,4.73,4.78,8836702.0,,,
50,2019-01-24,4.77,4.81,4.74,4.78,6859800.0,,,
51,2019-01-25,4.78,4.79,4.71,4.73,8864821.0,,,
52,2019-01-28,4.74,5.07,4.58,4.62,17108800.0,,,
53,2019-01-29,4.66,4.67,4.53,4.62,13124201.0,,,
54,2019-01-30,4.56,4.64,4.54,4.55,8751663.0,,,
55,2019-01-31,4.55,4.59,4.42,4.46,9997000.0,,,
56,2019-02-01,4.47,4.65,4.44,4.58,12774888.0,,,
57,2019-02-11,4.6,4.69,4.58,4.66,11219782.0,,,
58,2019-02-12,4.67,4.7,4.63,4.67,11505194.0,,,
59,2019-02-13,4.67,4.75,4.64,4.74,16542359.0,,,
60,2019-02-14,4.72,4.74,4.66,4.68,11407494.0,,,
61,2019-02-15,4.68,4.72,4.63,4.65,12536900.0,,,
62,2019-02-18,4.66,4.78,4.66,4.77,21177464.0,,,
63,2019-02-19,4.79,4.85,4.67,4.75,21081497.0,,,
64,2019-02-20,4.76,4.78,4.68,4.73,15485061.0,,,
65,2019-02-21,4.74,4.76,4.66,4.68,18216441.0,,,
66,2019-02-22,4.69,4.82,4.65,4.81,22202196.0,,,
67,2019-02-25,4.82,5.2,4.82,5.2,56198041.0,,,
68,2019-02-26,5.18,5.22,5.07,5.12,31632785.0,,,
69,2019-02-27,5.12,5.2,5.04,5.1,21239711.0,,,
70,2019-02-28,5.1,5.18,5.07,5.13,14668882.0,,,
71,2019-03-01,5.12,5.17,5.05,5.14,16156423.0,,,
72,2019-03-04,5.16,5.38,5.12,5.21,34410130.0,,,
73,2019-03-05,5.22,5.36,5.22,5.35,28141135.0,,,
74,2019-03-06,5.41,5.45,5.26,5.4,27749043.0,,,
75,2019-03-07,5.4,5.45,5.33,5.39,26661593.0,,,
76,2019-03-08,5.3,5.38,5.17,5.17,26590190.0,,,
77,2019-03-11,5.18,5.45,5.18,5.4,28598568.0,,,
78,2019-03-12,5.43,5.53,5.34,5.45,24322998.0,,,
79,2019-03-13,5.44,5.44,5.21,5.3,21017612.0,,,
80,2019-03-14,5.27,5.35,5.17,5.19,13805437.0,,,
81,2019-03-15,5.18,5.3,5.18,5.25,11098092.0,,,
82,2019-03-18,5.27,5.38,5.23,5.35,14919106.0,,,
83,2019-03-19,5.36,5.39,5.27,5.31,11856671.0,,,
84,2019-03-20,5.32,5.63,5.28,5.54,36736626.0,,,
85,2019-03-21,5.53,5.55,5.44,5.52,21327511.0,,,
86,2019-03-22,5.5,5.51,5.33,5.44,18580218.0,,,
87,2019-03-25,5.34,5.43,5.3,5.35,14362329.0,,,
88,2019-03-26,5.4,5.42,5.2,5.22,14661604.0,,,
89,2019-03-27,5.24,5.3,5.08,5.29,14094906.0,,,
90,2019-03-28,5.26,5.3,5.18,5.23,10005160.0,,,
91,2019-03-29,5.2,5.39,5.19,5.36,17455656.0,,,
92,2019-04-01,5.37,5.5,5.36,5.49,27905006.0,,,
