,date,open,high,low,close,volume,10,60,250
0,2020-11-06,10.72,12.86,10.72,12.86,652981.0,,,
1,2020-11-09,14.15,14.15,14.15,14.15,147772.0,,,
2,2020-11-10,15.57,15.57,15.57,15.57,126717.0,,,
3,2020-11-11,17.13,17.13,17.13,17.13,190658.0,,,
4,2020-11-12,18.84,18.84,18.84,18.84,384596.0,,,
5,2020-11-13,20.72,20.72,16.96,17.56,34348590.0,,,
6,2020-11-16,16.63,17.0,16.16,16.64,20805487.0,,,
7,2020-11-17,16.58,16.58,15.74,16.34,18169569.0,,,
8,2020-11-18,16.0,16.94,15.89,16.84,18510189.0,,,
9,2020-11-19,16.65,16.79,16.12,16.21,12461989.0,16.214000000000002,,
10,2020-11-20,16.13,16.34,15.83,15.9,10296958.0,16.518,,
11,2020-11-23,15.75,15.83,15.26,15.33,10760194.0,16.636000000000003,,
12,2020-11-24,15.41,15.74,15.17,15.74,10205973.0,16.653000000000002,,
13,2020-11-25,15.58,15.66,15.3,15.33,6140325.0,16.473000000000006,,
14,2020-11-26,15.15,15.5,15.11,15.36,4898431.0,16.125000000000004,,
15,2020-11-27,15.28,15.35,14.82,14.87,6857006.0,15.856000000000003,,
16,2020-11-30,14.89,14.97,14.58,14.62,4854431.0,15.654000000000002,,
17,2020-12-01,14.61,14.78,14.56,14.68,5115913.0,15.488000000000003,,
18,2020-12-02,14.68,15.99,14.63,15.65,15967637.0,15.369000000000003,,
19,2020-12-03,15.54,15.79,15.31,15.37,8836637.0,15.285000000000002,,
20,2020-12-04,15.21,15.33,14.82,15.24,6842055.0,15.219000000000003,,
21,2020-12-07,15.1,15.2,14.81,14.88,4921791.0,15.174000000000001,,
22,2020-12-08,14.88,14.97,14.66,14.67,3908675.0,15.066999999999998,,
23,2020-12-09,14.69,14.74,14.1,14.16,5664799.0,14.949999999999998,,
24,2020-12-10,14.03,14.46,13.94,14.26,3937014.0,14.839999999999998,,
25,2020-12-11,14.35,14.35,13.42,13.65,4970342.0,14.717999999999998,,
26,2020-12-14,13.76,13.76,13.4,13.54,2957531.0,14.609999999999996,,
27,2020-12-15,13.41,13.73,13.4,13.67,3432503.0,14.508999999999995,,
28,2020-12-16,13.59,13.6,13.12,13.13,3848948.0,14.256999999999994,,
29,2020-12-17,13.13,13.24,12.85,13.22,3993476.0,14.041999999999993,,
30,2020-12-18,13.28,13.29,12.91,12.91,2750711.0,13.808999999999992,,
31,2020-12-21,12.93,13.13,12.86,13.04,2625302.0,13.624999999999991,,
32,2020-12-22,12.96,13.0,12.52,12.54,3942360.0,13.411999999999992,,
33,2020-12-23,12.52,12.62,12.13,12.22,4197282.0,13.217999999999993,,
34,2020-12-24,12.22,12.41,11.8,11.82,4099977.0,12.973999999999993,,
35,2020-12-25,11.94,12.37,11.85,12.28,4618813.0,12.836999999999993,,
36,2020-12-28,12.15,12.16,11.93,12.0,2900692.0,12.682999999999993,,
37,2020-12-29,12.0,12.28,11.88,12.05,2707190.0,12.520999999999994,,
38,2020-12-30,11.95,12.65,11.91,12.38,4595358.0,12.445999999999994,,
39,2020-12-31,12.26,12.58,12.24,12.47,3474444.0,12.370999999999995,,
40,2021-01-04,12.45,12.57,12.32,12.48,3189710.0,12.327999999999994,,
41,2021-01-05,12.48,12.48,12.24,12.29,2930993.0,12.252999999999995,,
42,2021-01-06,12.22,12.48,12.01,12.09,3608728.0,12.207999999999995,,
43,2021-01-07,12.1,12.1,11.06,11.25,5785987.0,12.110999999999995,,
44,2021-01-08,11.24,11.39,10.98,11.23,2476078.0,12.051999999999996,,
