,date,open,high,low,close,volume,10,60,250
0,2020-03-18,2.87,2.92,2.8,2.81,14569320.0,,,
1,2020-03-19,2.78,2.86,2.76,2.85,14782901.0,,,
2,2020-03-20,2.87,2.88,2.81,2.87,10898606.0,,,
3,2020-03-23,2.84,2.84,2.75,2.76,12155600.0,,,
4,2020-03-24,2.79,2.82,2.7,2.78,10741705.0,,,
5,2020-03-25,2.83,2.88,2.82,2.87,14969079.0,,,
6,2020-03-26,2.83,2.87,2.8,2.81,9445714.0,,,
7,2020-03-27,2.83,2.84,2.8,2.81,7542408.0,,,
8,2020-03-30,2.76,2.78,2.7,2.74,10353785.0,,,
9,2020-03-31,2.76,2.79,2.71,2.72,6087800.0,2.8019999999999996,,
10,2020-04-01,2.72,2.75,2.69,2.7,7412200.0,2.7909999999999995,,
11,2020-04-02,2.68,2.74,2.65,2.74,8043500.0,2.78,,
12,2020-04-03,2.73,2.74,2.67,2.68,6621000.0,2.7609999999999997,,
13,2020-04-07,2.72,2.77,2.7,2.77,11604100.0,2.7619999999999996,,
14,2020-04-08,2.77,2.81,2.74,2.8,10986202.0,2.764,,
15,2020-04-09,2.81,2.83,2.8,2.83,11389902.0,2.76,,
16,2020-04-10,2.84,2.84,2.72,2.74,10445500.0,2.7529999999999997,,
17,2020-04-13,2.71,2.74,2.69,2.72,5979202.0,2.7439999999999998,,
18,2020-04-14,2.73,2.77,2.72,2.77,5580410.0,2.747,,
19,2020-04-15,2.77,2.86,2.75,2.82,20085500.0,2.757,,
20,2020-04-16,2.83,2.83,2.76,2.8,13444647.0,2.7670000000000003,,
21,2020-04-17,2.82,2.84,2.78,2.8,14536200.0,2.7730000000000006,,
22,2020-04-20,2.81,2.82,2.78,2.8,7821200.0,2.7850000000000006,,
23,2020-04-21,2.79,2.79,2.7,2.74,10797454.0,2.7820000000000005,,
24,2020-04-22,2.72,2.76,2.7,2.75,6019010.0,2.777,,
25,2020-04-23,2.74,2.76,2.72,2.73,6917173.0,2.7670000000000003,,
26,2020-04-24,2.73,2.74,2.68,2.68,7810602.0,2.761,,
