,date,open,high,low,close,volume,120,180,240
0,2018-11-13,9.12,9.41,9.05,9.28,18211972.0,,,
1,2018-11-14,9.3,9.33,9.03,9.05,13423041.0,,,
2,2018-11-15,9.01,9.28,9.01,9.25,12065138.0,,,
3,2018-11-16,9.25,9.48,9.17,9.21,13452537.0,,,
4,2018-11-19,9.09,9.19,8.89,8.94,10790156.0,,,
5,2018-11-20,8.93,9.83,8.93,9.43,35009145.0,,,
6,2018-11-21,9.23,9.32,8.99,9.24,18794876.0,,,
7,2018-11-22,9.2,10.16,9.16,10.16,35947787.0,,,
8,2018-11-23,10.1,10.1,9.55,9.85,27919678.0,,,
9,2018-11-26,9.85,10.23,9.21,9.59,23309894.0,,,
10,2018-11-27,9.69,9.87,9.25,9.87,15651922.0,,,
11,2018-11-28,9.72,9.82,9.46,9.7,12726112.0,,,
12,2018-11-29,9.65,9.71,9.08,9.09,12456090.0,,,
13,2018-11-30,9.0,9.07,8.32,8.62,14627041.0,,,
14,2018-12-03,8.83,8.97,8.66,8.8,9928840.0,,,
15,2018-12-04,8.75,8.96,8.69,8.96,8209620.0,,,
16,2018-12-05,8.65,8.86,8.6,8.74,6175912.0,,,
17,2018-12-06,8.75,8.88,8.5,8.52,6851782.0,,,
18,2018-12-07,8.54,8.64,8.44,8.53,4597660.0,,,
19,2018-12-10,8.41,8.48,7.91,8.18,8273641.0,,,
20,2018-12-11,8.23,8.34,8.22,8.31,4448401.0,,,
21,2018-12-12,8.42,8.51,8.25,8.25,4476281.0,,,
22,2018-12-13,8.29,8.4,8.17,8.36,4825641.0,,,
23,2018-12-14,8.37,8.45,8.05,8.05,5322793.0,,,
24,2018-12-17,7.98,8.27,7.8,8.23,4997522.0,,,
25,2018-12-18,8.1,8.35,8.06,8.33,5380509.0,,,
26,2018-12-19,8.3,8.36,8.2,8.24,3447375.0,,,
27,2018-12-20,8.2,8.38,8.18,8.31,3431880.0,,,
28,2018-12-21,8.3,8.44,8.19,8.23,4358763.0,,,
29,2018-12-24,8.15,8.29,8.12,8.26,2929821.0,,,
30,2018-12-25,8.2,8.2,7.73,7.97,6033331.0,,,
31,2018-12-26,7.96,8.1,7.92,7.98,3060240.0,,,
32,2018-12-27,8.06,8.09,7.51,7.58,4830957.0,,,
33,2018-12-28,7.62,7.8,7.57,7.6,3928008.0,,,
34,2019-01-02,7.7,7.71,7.49,7.56,2556240.0,,,
35,2019-01-03,7.55,8.32,7.44,8.01,13175679.0,,,
36,2019-01-04,7.86,8.2,7.66,8.08,11099640.0,,,
37,2019-01-07,8.15,8.64,8.15,8.46,14168404.0,,,
38,2019-01-08,8.36,8.58,8.2,8.31,10538491.0,,,
39,2019-01-09,8.31,8.37,8.19,8.2,7915876.0,,,
40,2019-01-10,8.2,8.31,8.13,8.23,6067920.0,,,
41,2019-01-11,8.23,8.29,8.1,8.19,4511580.0,,,
42,2019-01-14,8.12,8.29,8.07,8.25,4337669.0,,,
43,2019-01-15,8.2,8.29,8.13,8.29,4886744.0,,,
44,2019-01-16,8.28,8.3,8.05,8.17,4617380.0,,,
45,2019-01-17,8.2,8.2,7.85,7.89,5232354.0,,,
46,2019-01-18,7.85,8.0,7.56,7.87,4994900.0,,,
47,2019-01-21,7.82,8.05,7.82,8.01,4405442.0,,,
48,2019-01-22,8.03,8.08,7.95,8.03,3887389.0,,,
49,2019-01-23,8.03,8.05,7.86,7.91,2898900.0,,,
50,2019-01-24,7.96,8.05,7.86,7.99,2585819.0,,,
51,2019-01-25,8.0,8.16,7.93,8.09,4124689.0,,,
52,2019-01-28,8.41,8.9,8.18,8.19,16836219.0,,,
53,2019-01-29,7.37,7.37,7.37,7.37,3054100.0,,,
54,2019-01-30,6.63,7.65,6.63,7.3,13642643.0,,,
55,2019-01-31,7.07,7.34,6.88,7.12,10010639.0,,,
56,2019-02-01,7.1,7.3,7.0,7.23,7319487.0,,,
57,2019-02-11,7.2,7.8,7.2,7.44,7674560.0,,,
58,2019-02-12,7.48,7.78,7.4,7.52,7578680.0,,,
59,2019-02-13,7.62,7.7,7.49,7.66,8283165.0,,,
60,2019-02-14,7.62,7.76,7.55,7.68,6590786.0,,,
61,2019-02-15,7.68,7.9,7.6,7.75,7448773.0,,,
62,2019-02-18,7.8,8.07,7.74,8.01,8630244.0,,,
63,2019-02-19,7.98,8.56,7.96,8.3,13805966.0,,,
64,2019-02-20,8.18,8.4,8.11,8.29,9625007.0,,,
65,2019-02-21,8.33,8.4,8.1,8.1,10322173.0,,,
66,2019-02-22,8.08,8.25,8.01,8.25,7776725.0,,,
67,2019-02-25,8.26,8.79,8.26,8.71,13985035.0,,,
68,2019-02-26,8.72,8.98,8.48,8.74,15278283.0,,,
69,2019-02-27,8.7,9.61,8.66,9.44,30063422.0,,,
70,2019-02-28,9.16,9.29,8.86,9.06,18796996.0,,,
71,2019-03-01,9.11,9.18,8.79,9.15,10329343.0,,,
72,2019-03-04,9.21,9.43,9.05,9.22,15590956.0,,,
73,2019-03-05,9.15,9.36,9.06,9.35,13654883.0,,,
74,2019-03-06,9.41,9.89,9.31,9.72,19246372.0,,,
75,2019-03-07,9.7,10.65,9.44,10.0,20217739.0,,,
76,2019-03-08,9.71,10.06,9.05,9.07,15870032.0,,,
77,2019-03-11,9.38,9.5,9.12,9.42,9846429.0,,,
78,2019-03-12,9.46,9.99,9.46,9.88,16225779.0,,,
79,2019-03-13,9.95,10.19,9.57,9.65,15282135.0,,,
80,2019-03-14,9.45,9.57,9.08,9.19,9474198.0,,,
81,2019-03-15,9.3,9.48,9.21,9.36,6983078.0,,,
82,2019-03-18,9.39,9.54,9.25,9.51,6656872.0,,,
83,2019-03-19,9.91,10.2,9.58,9.69,13926165.0,,,
84,2019-03-20,9.6,9.68,9.44,9.62,8033365.0,,,
85,2019-03-21,9.59,9.74,9.55,9.69,9239181.0,,,
86,2019-03-22,9.69,9.77,9.43,9.76,10532791.0,,,
87,2019-03-25,9.6,10.33,9.5,10.07,19258359.0,,,
88,2019-03-26,10.08,10.14,9.56,9.56,12074400.0,,,
89,2019-03-27,9.62,9.66,9.1,9.4,7769255.0,,,
90,2019-03-28,9.39,10.34,9.38,10.34,8529849.0,,,
91,2019-03-29,10.88,11.37,10.52,11.37,41479866.0,,,
92,2019-04-01,11.52,12.51,11.45,12.51,26682852.0,,,
93,2019-04-02,13.39,13.76,12.67,13.01,55550296.0,,,
94,2019-04-03,12.5,12.72,11.99,12.28,38410496.0,,,
95,2019-04-04,12.01,13.13,11.91,12.88,31923100.0,,,
96,2019-04-08,12.65,12.99,12.1,12.33,20778780.0,,,
97,2019-04-09,12.2,12.58,11.92,12.25,13268823.0,,,
98,2019-04-10,11.87,11.87,11.46,11.69,16023303.0,,,
99,2019-04-11,11.54,11.73,11.4,11.41,8302640.0,,,
100,2019-04-12,11.55,11.95,11.54,11.64,10064062.0,,,
101,2019-04-15,11.78,11.87,11.51,11.52,7235500.0,,,
102,2019-04-16,11.46,11.75,11.19,11.75,8022799.0,,,
103,2019-04-17,11.72,11.86,11.6,11.67,7751318.0,,,
104,2019-04-18,11.54,11.94,11.36,11.74,10886551.0,,,
105,2019-04-19,11.56,11.79,11.43,11.61,6768784.0,,,
106,2019-04-22,11.47,11.6,11.02,11.11,8036419.0,,,
