,date,open,high,low,close,volume,10,60,250
0,2020-03-18,6.93,6.97,6.77,6.77,3199600.0,,,
1,2020-03-19,6.77,6.82,6.62,6.79,2954500.0,,,
2,2020-03-20,6.92,7.24,6.9,7.23,8364490.0,,,
3,2020-03-23,7.08,7.27,6.98,6.98,6375000.0,,,
4,2020-03-24,7.07,7.11,6.84,7.0,4402600.0,,,
5,2020-03-25,7.08,7.17,7.02,7.12,4160800.0,,,
6,2020-03-26,7.12,7.21,7.05,7.19,4898949.0,,,
7,2020-03-27,7.2,7.22,7.05,7.06,4023846.0,,,
8,2020-03-30,7.02,7.03,6.9,6.94,2724351.0,,,
9,2020-03-31,6.97,7.0,6.89,6.9,2363800.0,6.997999999999999,,
10,2020-04-01,6.87,6.91,6.76,6.77,2370101.0,6.997999999999999,,
11,2020-04-02,6.75,6.83,6.7,6.83,1793681.0,7.001999999999998,,
12,2020-04-03,6.84,6.86,6.74,6.85,1769750.0,6.963999999999997,,
13,2020-04-07,6.9,6.98,6.89,6.97,3312592.0,6.9629999999999965,,
14,2020-04-08,6.94,7.08,6.92,7.02,3462635.0,6.964999999999996,,
15,2020-04-09,7.02,7.09,7.0,7.06,2651961.0,6.958999999999996,,
16,2020-04-10,7.05,7.13,6.94,6.96,3013571.0,6.9359999999999955,,
17,2020-04-13,6.93,7.05,6.87,7.01,2197600.0,6.930999999999996,,
18,2020-04-14,6.92,7.06,6.79,7.02,6018343.0,6.938999999999996,,
19,2020-04-15,7.09,7.73,7.0,7.73,25835422.0,7.021999999999996,,
20,2020-04-16,7.48,7.89,7.33,7.58,29937347.0,7.102999999999996,,
21,2020-04-17,7.49,7.58,7.24,7.25,15709598.0,7.144999999999996,,
22,2020-04-20,7.18,7.33,7.16,7.24,7804093.0,7.183999999999996,,
23,2020-04-21,7.25,7.54,7.18,7.5,12246313.0,7.2369999999999965,,
24,2020-04-22,7.38,7.41,7.27,7.39,6869172.0,7.2739999999999965,,
25,2020-04-23,7.39,7.53,7.26,7.27,8525642.0,7.294999999999996,,
26,2020-04-24,7.23,7.23,6.92,6.93,8718585.0,7.291999999999997,,
27,2020-04-27,6.93,6.93,6.77,6.86,3707868.0,7.276999999999997,,
28,2020-04-28,6.84,6.89,6.44,6.55,5551617.0,7.229999999999997,,
29,2020-04-29,6.55,6.58,6.46,6.46,2984400.0,7.102999999999996,,
30,2020-04-30,6.49,6.55,6.46,6.54,3177654.0,6.998999999999997,,
31,2020-05-06,6.52,6.62,6.47,6.61,2785855.0,6.934999999999997,,
32,2020-05-07,6.63,6.68,6.59,6.64,2311100.0,6.874999999999997,,
33,2020-05-08,6.65,6.66,6.61,6.64,1969974.0,6.788999999999997,,
34,2020-05-11,6.62,6.67,6.61,6.63,1873697.0,6.7129999999999965,,
35,2020-05-12,6.6,6.65,6.55,6.56,1829000.0,6.641999999999998,,
36,2020-05-13,6.55,6.58,6.52,6.57,1801326.0,6.605999999999997,,
37,2020-05-14,6.54,6.55,6.46,6.48,2398682.0,6.567999999999998,,
38,2020-05-15,6.5,6.54,6.49,6.5,1317301.0,6.562999999999998,,
39,2020-05-18,6.52,6.53,6.46,6.48,1503602.0,6.5649999999999995,,
40,2020-05-19,6.52,6.53,6.44,6.48,1733000.0,6.558999999999999,,
41,2020-05-20,6.48,6.48,6.35,6.37,2588500.0,6.534999999999999,,
42,2020-05-21,6.39,6.41,6.33,6.34,1561512.0,6.505,,
43,2020-05-22,6.34,6.36,6.12,6.12,3070601.0,6.453,,
44,2020-05-25,6.13,6.23,6.12,6.19,1714400.0,6.409000000000001,,
45,2020-05-26,6.19,6.27,6.19,6.26,1951507.0,6.3790000000000004,,
46,2020-05-27,6.26,6.3,6.16,6.2,1730607.0,6.3420000000000005,,
47,2020-05-28,6.19,6.24,6.15,6.18,1665266.0,6.312,,
48,2020-05-29,6.16,6.3,6.15,6.27,1851238.0,6.289,,
49,2020-06-01,6.29,6.41,6.29,6.38,2661095.0,6.278999999999999,,
50,2020-06-02,6.4,6.45,6.36,6.43,1936582.0,6.273999999999999,,
51,2020-06-03,6.43,6.56,6.43,6.46,3610702.0,6.2829999999999995,,
52,2020-06-04,6.46,6.5,6.39,6.44,2049700.0,6.292999999999999,,
53,2020-06-05,6.41,6.47,6.37,6.43,1493874.0,6.323999999999999,,
54,2020-06-08,6.45,6.48,6.41,6.42,1577700.0,6.346999999999999,,
55,2020-06-09,6.43,6.48,6.4,6.46,1293101.0,6.366999999999998,,
56,2020-06-10,6.45,6.46,6.38,6.4,1524500.0,6.386999999999998,,
57,2020-06-11,6.43,6.45,6.31,6.33,1842385.0,6.401999999999998,,
58,2020-06-12,6.24,6.42,6.19,6.35,2198883.0,6.409999999999998,,
59,2020-06-15,6.38,6.49,6.38,6.49,2896318.0,6.420999999999998,6.731333333333334,
60,2020-06-16,6.49,6.53,6.45,6.5,1877800.0,6.427999999999997,6.726833333333333,
61,2020-06-17,6.5,6.68,6.49,6.6,5550774.0,6.4419999999999975,6.723666666666667,
62,2020-06-18,6.62,6.66,6.51,6.54,3032390.0,6.451999999999998,6.712166666666667,
63,2020-06-19,6.54,6.58,6.5,6.51,2549856.0,6.459999999999999,6.7043333333333335,
64,2020-06-22,6.55,6.58,6.51,6.52,2076342.0,6.469999999999999,6.696333333333333,
65,2020-06-23,6.53,6.7,6.49,6.57,2893424.0,6.480999999999999,6.687166666666666,
66,2020-06-24,6.57,6.68,6.54,6.59,2857845.0,6.499999999999998,6.677166666666666,
67,2020-06-29,6.58,6.64,6.5,6.53,2095382.0,6.519999999999999,6.668333333333332,
68,2020-06-30,6.54,6.57,6.52,6.55,2184421.0,6.539999999999999,6.661833333333332,
69,2020-07-01,6.55,6.55,6.47,6.49,2199700.0,6.539999999999999,6.654999999999999,
70,2020-07-02,6.51,6.62,6.49,6.59,3460762.0,6.5489999999999995,6.651999999999999,
71,2020-07-03,6.59,6.66,6.57,6.65,4066433.0,6.554,6.648999999999999,
72,2020-07-06,6.69,6.86,6.65,6.85,6250706.0,6.584999999999999,6.648999999999999,
73,2020-07-07,6.87,6.98,6.82,6.89,7177917.0,6.622999999999999,6.647666666666665,
74,2020-07-08,6.87,6.97,6.83,6.95,4866560.0,6.6659999999999995,6.646499999999999,
75,2020-07-09,6.96,7.14,6.93,7.07,6543595.0,6.715999999999999,6.646666666666665,
76,2020-07-10,7.08,7.16,6.92,6.95,5746900.0,6.752,6.646499999999999,
77,2020-07-13,6.96,7.11,6.94,7.09,5515095.0,6.808,6.647833333333332,
