,date,open,high,low,close,volume,120,180,240
0,2018-11-13,8.23,8.76,8.23,8.71,5368257.0,,,
1,2018-11-14,8.64,8.92,8.62,8.77,3618370.0,,,
2,2018-11-15,8.84,8.89,8.66,8.85,2073912.0,,,
3,2018-11-16,8.76,9.19,8.76,9.03,3356308.0,,,
4,2018-11-19,9.23,9.45,9.03,9.1,4030716.0,,,
5,2018-11-20,9.1,9.34,8.86,8.94,2777066.0,,,
6,2018-11-21,8.71,9.25,8.71,9.17,3992725.0,,,
7,2018-11-22,9.26,9.32,8.91,9.03,3299752.0,,,
8,2018-11-23,9.13,9.93,8.97,9.84,14779605.0,,,
9,2018-11-26,9.74,9.74,9.04,9.06,11305083.0,,,
10,2018-11-27,9.0,9.91,8.93,9.57,9503288.0,,,
11,2018-11-28,9.65,9.99,9.54,9.84,7378187.0,,,
12,2018-11-29,9.75,10.36,9.64,9.67,5859661.0,,,
13,2018-11-30,9.64,9.86,9.44,9.68,3366698.0,,,
14,2018-12-03,9.85,10.35,9.85,10.14,4638334.0,,,
15,2018-12-04,10.14,10.26,9.95,10.06,2787899.0,,,
16,2018-12-05,9.9,10.25,9.75,10.07,2745584.0,,,
17,2018-12-06,9.92,10.08,9.73,9.96,2311335.0,,,
18,2018-12-07,10.08,10.25,9.93,10.14,2053300.0,,,
19,2018-12-10,10.16,10.56,10.06,10.16,2811900.0,,,
20,2018-12-11,10.07,10.24,9.88,9.91,2231422.0,,,
21,2018-12-12,9.91,10.34,9.91,10.08,3167191.0,,,
22,2018-12-13,10.11,10.94,10.11,10.72,5868582.0,,,
23,2018-12-14,10.9,10.93,10.4,10.49,3581696.0,,,
24,2018-12-17,10.42,10.82,10.19,10.81,3895202.0,,,
25,2018-12-18,10.69,10.78,10.49,10.69,2080301.0,,,
26,2018-12-19,10.68,10.73,10.42,10.54,1656700.0,,,
27,2018-12-20,10.53,10.93,10.43,10.76,2211499.0,,,
28,2018-12-21,10.78,10.78,10.25,10.4,2668451.0,,,
