,date,open,high,low,close,volume,10,60,250
0,2020-03-04,15.39,15.43,15.19,15.43,556710.0,,,
1,2020-03-05,15.54,15.7,15.44,15.7,745339.0,,,
2,2020-03-06,15.54,15.91,15.51,15.6,820400.0,,,
3,2020-03-09,15.56,15.7,15.21,15.26,790700.0,,,
4,2020-03-10,15.01,15.37,14.52,15.27,1308522.0,,,
5,2020-03-11,15.27,15.75,15.27,15.5,1088823.0,,,
6,2020-03-12,15.38,15.41,15.05,15.15,892651.0,,,
7,2020-03-13,14.8,15.72,14.6,15.3,1463400.0,,,
8,2020-03-16,15.3,15.51,15.12,15.18,963300.0,,,
9,2020-03-17,15.0,15.7,14.85,14.96,709100.0,15.334999999999999,,
10,2020-03-18,15.14,15.49,14.96,15.01,870100.0,15.292999999999997,,
11,2020-03-19,14.75,15.32,14.08,15.32,980900.0,15.254999999999999,,
12,2020-03-20,15.32,16.17,15.32,16.02,2478072.0,15.297,,
13,2020-03-23,15.95,16.11,15.65,15.78,1681346.0,15.349,,
14,2020-03-24,15.79,16.74,15.78,16.56,2787923.0,15.478,,
15,2020-03-25,16.61,16.84,16.24,16.43,2348123.0,15.571000000000002,,
16,2020-03-26,16.42,16.43,15.75,15.77,1061227.0,15.633000000000001,,
17,2020-03-27,16.0,16.53,15.85,16.33,1780895.0,15.736,,
18,2020-03-30,16.2,16.32,15.34,15.63,1248800.0,15.781,,
19,2020-03-31,15.83,15.94,15.32,15.49,610100.0,15.834,,
20,2020-04-01,15.41,15.8,15.41,15.56,498562.0,15.889000000000001,,
21,2020-04-02,15.4,16.49,15.3,16.46,1636700.0,16.003000000000004,,
22,2020-04-03,16.46,16.55,15.73,15.91,1089500.0,15.992,,
23,2020-04-07,15.91,16.38,15.89,16.11,814672.0,16.025000000000002,,
24,2020-04-08,15.97,17.49,15.81,17.09,2794499.0,16.078000000000003,,
25,2020-04-09,17.25,17.37,16.7,16.76,1700526.0,16.111,,
26,2020-04-10,16.83,17.5,16.23,16.89,1470369.0,16.223,,
27,2020-04-13,16.59,17.0,16.46,16.81,932427.0,16.270999999999997,,
28,2020-04-14,16.86,16.9,16.61,16.82,690200.0,16.389999999999997,,
29,2020-04-15,16.9,16.9,16.52,16.83,849800.0,16.523999999999994,,
30,2020-04-16,16.82,17.36,16.61,17.07,1525300.0,16.674999999999994,,
31,2020-04-17,17.2,17.2,16.5,16.5,994800.0,16.678999999999995,,
32,2020-04-20,16.75,17.1,16.36,17.06,1310744.0,16.793999999999993,,
33,2020-04-21,17.16,17.33,16.64,16.69,995772.0,16.851999999999993,,
34,2020-04-22,16.61,17.38,16.5,17.17,1398800.0,16.859999999999992,,
35,2020-04-23,17.09,18.89,16.63,18.88,4261786.0,17.071999999999996,,
36,2020-04-24,18.88,20.3,18.28,19.88,4056800.0,17.37099999999999,,
37,2020-04-27,19.79,19.79,19.1,19.6,2218700.0,17.64999999999999,,
38,2020-04-28,19.6,19.95,18.9,19.65,1593700.0,17.932999999999993,,
39,2020-04-29,19.64,20.19,19.01,19.01,1404572.0,18.150999999999993,,
40,2020-04-30,19.21,19.3,18.33,18.93,2138218.0,18.336999999999996,,
41,2020-05-06,19.12,19.65,17.04,17.04,5945800.0,18.390999999999995,,
42,2020-05-07,15.9,16.49,15.68,15.93,3347172.0,18.277999999999995,,
43,2020-05-08,15.9,16.49,15.6,16.4,2115600.0,18.248999999999995,,
44,2020-05-11,16.36,16.65,16.01,16.02,1205800.0,18.133999999999997,,
45,2020-05-12,16.2,16.2,15.61,15.8,1163526.0,17.826,,
46,2020-05-13,15.6,16.06,15.6,15.96,719339.0,17.434,,
47,2020-05-14,15.96,16.06,15.61,15.8,450600.0,17.054000000000002,,
48,2020-05-15,15.75,16.44,15.73,15.92,710100.0,16.681,,
49,2020-05-18,15.92,15.99,15.71,15.74,461000.0,16.354000000000003,,
50,2020-05-19,15.88,16.59,15.0,16.57,1325568.0,16.118000000000002,,
51,2020-05-20,16.52,17.5,16.4,16.78,2023377.0,16.092000000000002,,
52,2020-05-21,16.78,17.3,16.55,16.93,1373996.0,16.192,,
53,2020-05-22,16.97,17.34,16.69,16.87,1035100.0,16.239,,
54,2020-05-25,16.89,17.83,16.88,17.8,1692800.0,16.417,,
55,2020-05-26,17.62,17.95,17.24,17.4,1278900.0,16.577,,
56,2020-05-27,17.47,17.74,16.91,17.34,1270200.0,16.715,,
57,2020-05-28,17.33,17.87,17.2,17.75,768700.0,16.91,,
58,2020-05-29,17.75,18.28,17.46,17.75,866300.0,17.093,,
59,2020-06-01,18.16,18.16,17.7,17.79,678800.0,17.298,16.58266666666666,
60,2020-06-02,17.81,18.82,17.43,18.82,1214977.0,17.523,16.63916666666666,
61,2020-06-03,18.4,18.66,17.8,18.5,1961596.0,17.695,16.685833333333328,
62,2020-06-04,18.54,18.85,16.65,16.65,5617900.0,17.666999999999998,16.703333333333326,
63,2020-06-05,15.41,15.79,15.14,15.37,3819350.0,17.517,16.70516666666666,
64,2020-06-08,15.37,15.49,15.15,15.2,1438918.0,17.256999999999998,16.703999999999994,
65,2020-06-09,15.21,15.39,15.14,15.28,1199179.0,17.044999999999995,16.700333333333326,
66,2020-06-10,15.26,15.43,15.2,15.36,965800.0,16.846999999999994,16.70383333333333,
67,2020-06-11,15.41,15.6,15.16,15.3,908647.0,16.601999999999997,16.70383333333333,
68,2020-06-12,14.99,15.56,14.99,15.47,966751.0,16.373999999999995,16.708666666666662,
69,2020-06-15,15.47,15.88,15.46,15.63,1013551.0,16.157999999999994,16.71983333333333,
70,2020-06-16,15.8,15.8,15.59,15.63,470111.0,15.838999999999995,16.730166666666662,
71,2020-06-17,15.79,15.79,15.46,15.65,592000.0,15.553999999999997,16.73566666666666,
72,2020-06-18,15.65,15.71,15.45,15.58,493922.0,15.446999999999997,16.728333333333328,
73,2020-06-19,15.69,15.69,15.46,15.57,596711.0,15.466999999999995,16.72483333333333,
74,2020-06-22,15.57,15.77,15.45,15.5,563700.0,15.496999999999996,16.707166666666662,
75,2020-06-23,15.45,15.51,15.29,15.37,654700.0,15.505999999999997,16.6895,
76,2020-06-24,15.42,15.42,15.08,15.1,603586.0,15.479999999999995,16.67833333333333,
77,2020-06-29,15.09,16.28,15.09,15.61,2863958.0,15.510999999999996,16.66633333333333,
78,2020-06-30,15.58,15.58,15.03,15.31,1337254.0,15.494999999999996,16.660999999999998,
79,2020-07-01,15.37,15.39,15.1,15.23,826354.0,15.454999999999995,16.656666666666663,
80,2020-07-02,15.19,15.56,15.11,15.47,1201300.0,15.438999999999997,16.655166666666666,
81,2020-07-03,15.5,16.85,15.5,16.48,3594829.0,15.521999999999995,16.6555,
82,2020-07-06,16.49,17.49,15.8,16.51,9095288.0,15.614999999999991,16.665499999999998,
83,2020-07-21,15.8,17.46,15.53,16.99,8592734.0,15.756999999999994,16.680166666666665,
84,2020-07-22,16.64,18.16,16.61,17.87,9335968.0,15.993999999999994,16.693166666666666,
85,2020-07-23,17.51,17.99,17.38,17.55,6239372.0,16.211999999999996,16.70633333333333,
86,2020-07-24,17.45,17.72,16.87,17.4,3113796.0,16.441999999999997,16.71483333333333,
87,2020-07-27,17.55,17.99,17.13,17.66,2329051.0,16.647,16.729,
88,2020-07-28,17.44,17.95,17.44,17.67,2014900.0,16.883,16.743166666666664,
89,2020-07-29,17.54,18.88,17.35,18.62,5348291.0,17.222,16.772999999999996,
90,2020-07-30,18.67,19.45,18.52,19.14,4126758.0,17.589000000000002,16.807499999999994,
91,2020-07-31,19.0,19.35,18.02,18.2,4213615.0,17.761000000000003,16.835833333333326,
92,2020-08-03,18.2,18.55,18.0,18.28,2788289.0,17.938000000000002,16.85616666666666,
93,2020-08-04,18.2,18.27,17.51,17.79,1907489.0,18.018,16.874499999999994,
94,2020-08-05,17.55,18.14,17.34,17.92,2062600.0,18.023000000000003,16.886999999999993,
95,2020-08-06,17.92,17.93,17.53,17.84,1426172.0,18.052,16.869666666666664,
96,2020-08-07,18.03,18.38,17.62,18.3,2399072.0,18.142000000000003,16.84333333333333,
97,2020-08-10,18.47,18.47,17.93,18.2,1833056.0,18.196,16.819999999999997,
98,2020-08-11,18.2,18.5,18.08,18.11,1533692.0,18.24,16.79433333333333,
99,2020-08-12,18.28,18.32,16.3,18.11,1448300.0,18.189,16.77933333333333,
100,2020-08-13,18.11,18.47,17.85,17.95,1903846.0,18.07,16.762999999999998,
101,2020-08-14,17.9,18.7,17.59,18.5,2209565.0,18.1,16.78733333333333,
102,2020-08-17,18.6,18.6,18.21,18.23,1633100.0,18.095,16.825666666666663,
103,2020-08-18,18.1,18.39,18.08,18.32,1086800.0,18.148,16.857666666666667,
104,2020-08-19,18.42,18.62,18.14,18.37,1391870.0,18.193,16.896833333333333,
105,2020-08-20,18.37,18.67,17.93,18.5,1779400.0,18.259,16.94183333333333,
106,2020-08-21,18.55,18.74,18.41,18.55,2244170.0,18.284,16.985,
107,2020-08-24,18.57,18.6,18.18,18.31,1719200.0,18.295,17.026833333333332,
108,2020-08-25,18.36,18.9,18.21,18.41,2318744.0,18.325,17.06833333333333,
109,2020-08-26,18.43,18.62,18.15,18.54,1664791.0,18.368000000000002,17.115,
110,2020-08-27,18.53,18.89,18.3,18.79,1910019.0,18.452,17.151999999999997,
111,2020-08-28,18.77,18.92,18.49,18.6,1379100.0,18.462,17.18233333333333,
112,2020-08-31,18.59,18.75,18.38,18.65,1593600.0,18.504,17.211,
113,2020-09-01,18.52,19.11,18.42,18.52,1525300.0,18.524000000000004,17.2385,
114,2020-09-02,18.48,18.89,18.38,18.82,1822800.0,18.569000000000003,17.255499999999998,
115,2020-09-03,18.8,19.1,18.5,18.56,1119900.0,18.575000000000003,17.27483333333333,
116,2020-09-04,18.37,18.49,18.03,18.34,1953200.0,18.554000000000002,17.291499999999996,
117,2020-09-07,18.48,18.91,18.16,18.18,1934651.0,18.541000000000004,17.298666666666666,
118,2020-09-08,18.21,18.3,16.7,17.13,4908951.0,18.413000000000004,17.288333333333334,
119,2020-09-09,16.89,17.77,16.33,17.21,3005369.0,18.280000000000005,17.278666666666666,
120,2020-09-10,17.12,17.24,16.19,16.19,2055500.0,18.020000000000003,17.234833333333334,
121,2020-09-11,16.16,16.29,15.8,16.15,730546.0,17.775000000000006,17.19566666666667,
122,2020-09-14,16.37,16.89,16.02,16.61,1115100.0,17.571000000000005,17.195,
123,2020-09-15,16.61,16.78,16.38,16.5,690573.0,17.369000000000007,17.213833333333337,
124,2020-09-16,16.5,16.52,16.12,16.21,529900.0,17.108000000000008,17.230666666666668,
125,2020-09-17,16.17,17.0,16.1,16.78,1189200.0,16.930000000000007,17.25566666666667,
126,2020-09-18,16.77,18.17,16.64,17.58,1997200.0,16.854000000000006,17.29266666666667,
127,2020-09-21,17.58,19.1,17.5,18.7,4964172.0,16.906000000000002,17.349333333333337,
128,2020-09-22,18.57,19.17,18.0,18.89,6041244.0,17.082000000000004,17.40633333333334,
129,2020-09-23,19.17,19.17,18.05,18.48,4352994.0,17.209000000000003,17.45383333333334,
130,2020-09-24,18.4,19.05,18.27,18.8,3682400.0,17.470000000000006,17.506666666666668,
131,2020-09-25,18.93,18.93,18.5,18.5,1983200.0,17.705000000000005,17.554166666666667,
132,2020-09-28,18.75,19.25,18.47,18.8,2171600.0,17.924000000000007,17.607833333333335,
133,2020-09-29,18.8,19.03,17.0,17.5,5711800.0,18.024000000000008,17.64,
134,2020-09-30,17.5,18.02,17.28,17.91,5081959.0,18.194000000000006,17.68016666666667,
135,2020-10-09,17.77,18.63,17.74,18.0,3978072.0,18.316000000000006,17.724000000000004,
136,2020-10-12,18.0,18.53,17.92,18.3,3634112.0,18.388000000000005,17.77733333333334,
137,2020-10-13,18.39,18.53,17.55,17.92,4410400.0,18.31000000000001,17.81583333333334,
138,2020-10-14,17.95,17.99,17.45,17.92,2363000.0,18.21300000000001,17.859333333333343,
139,2020-10-15,17.9,18.17,17.58,17.71,3389100.0,18.136000000000013,17.900666666666677,
140,2020-10-16,17.71,17.93,17.48,17.68,2222700.0,18.02400000000001,17.93750000000001,
141,2020-10-19,17.67,17.75,17.05,17.45,2532772.0,17.91900000000001,17.953666666666678,
142,2020-10-20,17.39,17.39,16.83,17.06,1189312.0,17.74500000000001,17.962833333333343,
143,2020-10-21,17.18,17.64,16.91,17.61,2702100.0,17.75600000000001,17.973166666666675,
144,2020-10-22,17.5,18.02,17.39,17.93,2903675.0,17.758000000000013,17.97416666666668,
145,2020-10-23,17.91,18.52,17.75,18.15,5751800.0,17.773000000000014,17.98416666666668,
146,2020-10-26,18.05,18.05,17.3,17.58,2662400.0,17.70100000000001,17.987166666666678,
147,2020-10-27,17.49,18.14,16.4,17.66,4960272.0,17.67500000000001,17.987166666666678,
