,date,open,high,low,close,volume,120,180,240
0,2020-09-29,11.66,14.0,11.66,14.0,603340.0,,,
1,2020-09-30,15.4,15.4,12.72,15.4,22899813.0,,,
2,2020-10-09,15.4,16.94,14.6,16.94,15404150.0,,,
3,2020-10-12,18.63,18.63,18.63,18.63,1230487.0,,,
4,2020-10-13,20.1,20.49,19.88,20.49,6171138.0,,,
5,2020-10-14,21.51,22.54,21.5,22.54,24069682.0,,,
6,2020-10-15,23.65,24.67,20.29,20.3,25862336.0,,,
7,2020-10-16,19.0,19.2,18.27,18.27,15586303.0,,,
8,2020-10-19,17.95,18.5,17.21,18.43,16069950.0,,,
9,2020-10-20,17.88,18.9,17.5,18.61,14423630.0,,,
10,2020-10-21,18.06,18.26,17.45,17.45,10637937.0,,,
11,2020-10-22,17.06,18.0,16.88,17.41,7412407.0,,,
12,2020-10-23,17.19,17.6,16.46,16.56,7536531.0,,,
13,2020-10-26,16.56,16.83,16.08,16.79,5432057.0,,,
14,2020-10-27,16.65,17.03,16.52,16.88,5408479.0,,,
15,2020-10-28,16.75,17.03,16.7,16.79,4104308.0,,,
16,2020-10-29,16.25,16.58,16.01,16.1,4872783.0,,,
17,2020-10-30,16.09,16.1,14.95,15.01,6147146.0,,,
18,2020-11-02,15.14,15.31,14.86,15.05,3449446.0,,,
19,2020-11-03,15.03,16.22,15.03,15.74,5665989.0,,,
20,2020-11-04,15.99,16.1,15.45,15.58,3731517.0,,,
21,2020-11-05,15.85,17.03,15.6,16.59,9125072.0,,,
22,2020-11-06,16.66,16.78,15.87,16.03,6071463.0,,,
23,2020-11-09,15.96,16.86,15.96,16.81,6169945.0,,,
24,2020-11-10,16.6,16.8,16.08,16.36,4980174.0,,,
25,2020-11-11,16.19,18.0,16.13,17.45,11583154.0,,,
26,2020-11-12,17.4,17.43,16.58,16.98,7115881.0,,,
27,2020-11-13,16.97,17.25,16.66,16.78,4692519.0,,,
28,2020-11-16,16.6,16.68,16.1,16.2,5906123.0,,,
29,2020-11-17,16.11,17.61,16.09,17.14,10783820.0,,,
30,2020-11-18,16.77,17.54,16.1,17.54,8613647.0,,,
31,2020-11-19,18.15,18.78,17.32,17.38,10625411.0,,,
32,2020-11-20,16.96,17.7,16.96,17.15,6484913.0,,,
33,2020-11-23,17.29,17.45,16.6,16.8,5122128.0,,,
34,2020-11-24,16.8,17.02,16.5,16.58,3870020.0,,,
35,2020-11-25,16.58,16.78,16.1,16.21,4005067.0,,,
36,2020-11-26,16.22,16.84,16.01,16.75,4761538.0,,,
37,2020-11-27,16.58,16.92,16.5,16.7,3730115.0,,,
38,2020-11-30,16.65,16.67,16.21,16.21,3826213.0,,,
39,2020-12-01,16.2,16.39,16.11,16.25,2662606.0,,,
40,2020-12-02,16.28,16.89,16.12,16.7,5247703.0,,,
41,2020-12-03,16.56,16.59,16.25,16.31,3300959.0,,,
42,2020-12-04,16.31,16.43,16.2,16.24,2136045.0,,,
43,2020-12-07,16.31,16.5,16.16,16.18,2016611.0,,,
44,2020-12-08,16.18,16.24,15.6,15.63,3835159.0,,,
45,2020-12-09,15.63,15.73,15.02,15.07,2944421.0,,,
46,2020-12-10,15.01,15.25,14.98,15.07,1473949.0,,,
47,2020-12-11,15.15,15.23,14.44,14.58,2355777.0,,,
48,2020-12-14,14.58,14.78,14.3,14.66,2030884.0,,,
49,2020-12-15,14.58,14.95,14.55,14.7,1670903.0,,,
50,2020-12-16,14.69,15.09,13.5,14.93,3019242.0,,,
51,2020-12-17,14.74,14.89,14.63,14.8,1824540.0,,,
52,2020-12-18,14.8,14.8,14.32,14.38,1941029.0,,,
53,2020-12-21,14.25,14.79,14.25,14.66,2328812.0,,,
54,2020-12-22,14.54,14.74,14.17,14.21,2037765.0,,,
55,2020-12-23,14.21,14.5,13.64,13.65,2981519.0,,,
56,2020-12-24,13.63,13.63,12.85,12.95,4236732.0,,,
57,2020-12-25,12.99,13.27,12.83,13.06,1923908.0,,,
58,2020-12-28,13.08,13.16,12.0,12.5,3506404.0,,,
59,2020-12-29,12.5,12.65,12.31,12.41,2078540.0,,,
60,2020-12-30,12.34,12.55,12.29,12.3,1954055.0,,,
61,2020-12-31,12.31,12.72,12.31,12.4,2638828.0,,,
62,2021-01-04,12.43,12.95,12.42,12.8,2741968.0,,,
63,2021-01-05,12.79,12.86,12.65,12.75,1956374.0,,,
64,2021-01-06,12.75,12.84,12.38,12.64,2190700.0,,,
65,2021-01-07,12.6,12.66,12.4,12.54,2342200.0,,,
66,2021-01-08,12.58,13.28,12.2,12.88,5817838.0,,,
67,2021-01-11,12.8,13.85,12.8,13.84,7662570.0,,,
68,2021-01-12,13.84,13.97,13.1,13.27,6049655.0,,,
69,2021-01-13,13.06,13.15,12.26,12.29,5330546.0,,,
70,2021-01-14,12.1,12.1,11.51,11.77,3534962.0,,,
71,2021-01-15,11.73,12.54,11.73,12.19,3021101.0,,,
72,2021-01-18,12.06,12.45,12.06,12.21,2282208.0,,,
73,2021-01-19,12.16,12.95,12.1,12.6,3307751.0,,,
74,2021-01-20,13.08,13.86,12.98,13.86,2842574.0,,,
75,2021-01-21,15.25,15.25,15.25,15.25,1453704.0,,,
76,2021-01-22,16.78,16.78,16.18,16.78,14057912.0,,,
77,2021-01-25,18.01,18.46,17.39,18.46,6768440.0,,,
78,2021-01-26,20.31,20.31,18.8,20.31,18667359.0,,,
79,2021-01-27,20.25,22.34,20.25,22.34,15665535.0,,,
80,2021-01-28,22.5,24.24,20.11,20.11,26513025.0,,,
81,2021-01-29,18.1,18.1,18.1,18.1,1448300.0,,,
82,2021-02-01,16.96,18.1,16.29,16.29,27249749.0,,,
83,2021-02-02,15.88,16.59,15.39,16.0,20193143.0,,,
84,2021-02-03,15.64,17.6,15.07,16.4,23818488.0,,,
85,2021-02-04,16.1,17.3,14.9,17.15,21824461.0,,,
86,2021-02-05,16.59,16.81,15.44,15.44,15786003.0,,,
87,2021-02-08,15.0,16.98,14.96,16.98,22664822.0,,,
88,2021-02-09,16.73,18.68,16.1,18.68,22295717.0,,,
89,2021-02-10,19.0,19.54,16.81,16.81,11128810.0,,,
90,2021-02-18,16.32,16.47,15.13,15.67,22795032.0,,,
91,2021-02-19,15.0,15.12,14.61,14.99,15140132.0,,,
92,2021-02-22,15.0,15.37,14.81,15.26,13754181.0,,,
93,2021-02-23,15.12,15.12,14.28,14.44,10653467.0,,,
94,2021-02-24,14.39,14.56,14.11,14.16,6915647.0,,,
95,2021-02-25,14.21,14.35,14.03,14.05,5311347.0,,,
96,2021-02-26,13.86,14.14,13.7,14.09,4957260.0,,,
97,2021-03-01,14.11,14.34,14.0,14.34,5381639.0,,,
98,2021-03-02,14.34,14.35,13.9,14.0,4723999.0,,,
99,2021-03-03,13.92,14.26,13.92,14.19,3880140.0,,,
100,2021-03-04,14.14,14.14,13.77,13.86,4502200.0,,,
101,2021-03-05,13.77,14.47,13.74,14.28,7249813.0,,,
102,2021-03-08,14.33,14.58,14.16,14.28,8929514.0,,,
103,2021-03-09,14.03,14.47,13.15,13.26,7628180.0,,,
104,2021-03-10,13.31,13.58,13.09,13.41,4295647.0,,,
105,2021-03-11,13.5,13.72,13.26,13.56,3849496.0,,,
106,2021-03-12,13.52,13.58,13.33,13.37,3601556.0,,,
107,2021-03-15,13.3,13.46,13.2,13.33,2425100.0,,,
108,2021-03-16,13.31,13.55,13.3,13.49,3478467.0,,,
109,2021-03-17,13.55,14.08,13.48,13.97,6818647.0,,,
110,2021-03-18,14.11,14.17,13.71,13.9,4840767.0,,,
111,2021-03-19,13.68,14.95,13.66,14.42,12109597.0,,,
112,2021-03-22,14.5,15.13,14.25,15.06,13090494.0,,,
113,2021-03-23,14.8,14.95,14.04,14.22,9277973.0,,,
114,2021-03-24,14.01,14.66,14.0,14.44,6144280.0,,,
115,2021-03-25,14.32,14.51,14.08,14.35,4134785.0,,,
116,2021-03-26,14.34,14.65,14.2,14.43,5682868.0,,,
117,2021-03-29,14.39,15.0,13.8,14.96,10119116.0,,,
118,2021-03-30,14.71,15.23,14.65,14.88,8831500.0,,,
119,2021-03-31,14.75,16.37,14.65,16.37,13575516.0,15.483666666666664,,
120,2021-04-01,16.57,17.07,15.53,15.55,17579890.0,15.49658333333333,,
121,2021-04-02,15.53,15.77,14.9,15.31,10555840.0,15.49583333333333,,
122,2021-04-06,15.12,16.15,15.12,16.03,10987778.0,15.488249999999995,,
123,2021-04-07,15.79,16.22,15.51,16.19,10710485.0,15.467916666666662,,
124,2021-04-08,16.0,16.34,15.63,15.73,8574384.0,15.428249999999995,,
125,2021-04-09,15.7,16.29,15.54,16.01,8337100.0,15.373833333333328,,
126,2021-04-12,16.3,17.61,15.86,16.8,14684684.0,15.344666666666662,,
127,2021-04-13,16.46,16.9,15.93,16.5,9599345.0,15.329916666666662,,
128,2021-04-14,16.32,16.66,16.1,16.32,6653999.0,15.312333333333328,,
129,2021-04-15,16.34,16.34,15.45,15.69,5975845.0,15.287999999999995,,
130,2021-04-16,15.66,15.98,15.52,15.77,4049680.0,15.273999999999996,,
131,2021-04-19,15.8,16.65,15.69,16.35,7764705.0,15.26516666666666,,
132,2021-04-20,16.16,16.44,15.8,15.86,6092400.0,15.259333333333327,,
133,2021-04-21,15.76,15.76,14.79,14.81,7535725.0,15.242833333333326,,
134,2021-04-22,14.82,15.09,14.52,14.67,4379400.0,15.22441666666666,,
135,2021-04-23,14.66,14.66,14.2,14.27,3557040.0,15.20341666666666,,
136,2021-04-26,14.15,14.47,13.9,14.34,3014500.0,15.188749999999994,,
137,2021-04-27,14.45,14.48,14.01,14.19,2077200.0,15.18191666666666,,
138,2021-04-28,14.3,14.32,14.05,14.09,1712500.0,15.17391666666666,,
139,2021-04-29,14.08,14.24,14.01,14.05,1661300.0,15.159833333333326,,
140,2021-04-30,14.02,14.09,13.28,13.48,3659951.0,15.142333333333328,,
