,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.51,6.83,6.48,6.74,70271772.0,,,
1,2018-11-14,6.7,6.81,6.58,6.61,51291370.0,,,
2,2018-11-15,6.63,6.77,6.6,6.72,49949593.0,,,
3,2018-11-16,6.72,7.03,6.66,6.99,76877484.0,,,
4,2018-11-19,6.93,7.13,6.88,7.06,65318661.0,,,
5,2018-11-20,7.0,7.01,6.68,6.71,57274071.0,,,
6,2018-11-21,6.63,6.76,6.55,6.73,33664049.0,,,
7,2018-11-22,6.77,6.8,6.6,6.65,28394292.0,,,
8,2018-11-23,6.66,6.67,6.22,6.27,40159478.0,,,
9,2018-11-26,6.27,6.35,6.2,6.26,25425243.0,,,
10,2018-11-27,6.32,6.49,6.26,6.39,33295234.0,,,
11,2018-11-28,6.41,6.44,6.15,6.43,30331104.0,,,
12,2018-11-29,6.47,6.53,6.2,6.21,33961258.0,,,
13,2018-11-30,6.18,6.34,6.14,6.31,24094611.0,,,
14,2018-12-03,6.48,6.61,6.46,6.59,43972203.0,,,
15,2018-12-04,6.56,6.61,6.48,6.57,28929556.0,,,
16,2018-12-05,6.45,6.54,6.38,6.42,34542509.0,,,
17,2018-12-06,6.42,6.43,6.21,6.28,30469936.0,,,
18,2018-12-07,6.31,6.34,6.26,6.28,14738536.0,,,
19,2018-12-10,6.14,6.14,5.72,5.78,55815086.0,,,
20,2018-12-11,5.82,5.85,5.72,5.81,25610612.0,,,
21,2018-12-12,5.84,5.89,5.79,5.85,21732497.0,,,
22,2018-12-13,5.87,5.96,5.79,5.9,25499507.0,,,
23,2018-12-14,5.87,5.9,5.66,5.71,28259379.0,,,
24,2018-12-17,5.77,5.84,5.7,5.81,24315880.0,,,
25,2018-12-18,5.75,5.81,5.64,5.75,19905454.0,,,
26,2018-12-19,5.75,5.76,5.63,5.68,16775739.0,,,
27,2018-12-20,5.66,5.73,5.64,5.71,17321014.0,,,
28,2018-12-21,5.68,5.69,5.6,5.63,16065486.0,,,
29,2018-12-24,5.6,5.65,5.54,5.63,13668987.0,,,
30,2018-12-25,5.07,5.07,5.07,5.07,8255100.0,,,
31,2018-12-26,4.56,4.56,4.56,4.56,4725900.0,,,
32,2018-12-27,4.3,4.77,4.3,4.57,145117769.0,,,
33,2018-12-28,4.4,4.47,4.25,4.38,88368199.0,,,
34,2019-01-02,4.34,4.35,4.01,4.07,88469628.0,,,
35,2019-01-03,4.07,4.19,4.04,4.07,69807088.0,,,
36,2019-01-04,4.01,4.32,4.0,4.31,79056528.0,,,
37,2019-01-07,4.37,4.38,4.27,4.34,79298156.0,,,
38,2019-01-08,4.35,4.77,4.29,4.62,153862870.0,,,
39,2019-01-09,4.52,4.73,4.47,4.58,110097596.0,,,
40,2019-01-10,4.55,4.69,4.53,4.64,72218723.0,,,
41,2019-01-11,4.62,4.66,4.57,4.61,45756601.0,,,
42,2019-01-14,4.63,4.64,4.44,4.51,52009254.0,,,
43,2019-01-15,4.5,4.58,4.46,4.55,42508226.0,,,
44,2019-01-16,4.57,4.97,4.57,4.8,111530241.0,,,
45,2019-01-17,4.77,4.9,4.68,4.81,73942599.0,,,
46,2019-01-18,4.85,4.88,4.7,4.8,52448341.0,,,
47,2019-01-21,4.81,4.83,4.74,4.77,41461363.0,,,
48,2019-01-22,4.78,4.79,4.59,4.63,44751005.0,,,
49,2019-01-23,4.6,4.68,4.55,4.65,28958351.0,,,
50,2019-01-24,4.65,4.68,4.56,4.63,30790220.0,,,
51,2019-01-25,4.64,4.65,4.45,4.45,46377322.0,,,
52,2019-01-28,4.46,4.52,4.31,4.35,40946712.0,,,
53,2019-01-29,4.34,4.35,4.16,4.28,41103722.0,,,
54,2019-01-30,4.28,4.28,4.12,4.14,34789442.0,,,
55,2019-01-31,4.06,4.4,4.06,4.26,64800595.0,,,
56,2019-02-01,4.21,4.36,4.18,4.35,42622033.0,,,
57,2019-02-11,4.36,4.51,4.32,4.51,43659247.0,,,
58,2019-02-12,4.51,4.71,4.47,4.7,62119739.0,,,
59,2019-02-13,4.7,4.84,4.63,4.75,72616732.0,,,
60,2019-02-14,4.74,4.89,4.72,4.85,68636676.0,,,
61,2019-02-15,4.84,5.34,4.81,5.05,129541846.0,,,
62,2019-02-18,5.08,5.56,5.08,5.56,161625254.0,,,
63,2019-02-19,5.75,6.12,5.73,6.12,219515471.0,,,
64,2019-02-20,6.34,6.5,5.97,6.2,240096565.0,,,
65,2019-02-21,6.11,6.29,5.9,5.98,175713095.0,,,
66,2019-02-22,5.96,6.08,5.83,6.08,118346920.0,,,
67,2019-02-25,6.12,6.69,6.02,6.69,216295325.0,,,
68,2019-02-26,6.68,7.11,6.42,6.7,191730870.0,,,
69,2019-02-27,6.58,7.35,6.53,7.08,177836423.0,,,
70,2019-02-28,7.08,7.2,6.76,6.85,110748466.0,,,
71,2019-03-01,6.86,6.97,6.66,6.88,84566755.0,,,
72,2019-03-04,6.95,7.24,6.91,7.06,127245987.0,,,
73,2019-03-05,6.97,7.09,6.91,7.08,92029026.0,,,
74,2019-03-06,7.06,7.58,6.91,7.42,146556440.0,,,
75,2019-03-07,7.37,7.5,7.2,7.32,110860956.0,,,
76,2019-03-08,7.11,7.17,6.6,6.6,124490235.0,,,
77,2019-03-11,6.6,7.25,6.54,7.25,118375006.0,,,
78,2019-03-12,7.53,7.59,7.13,7.3,143776752.0,,,
79,2019-03-13,7.33,7.36,6.93,6.99,88982187.0,,,
80,2019-03-14,6.93,7.04,6.62,6.79,64138480.0,,,
81,2019-03-15,6.81,6.99,6.76,6.85,52708806.0,,,
82,2019-03-18,6.86,7.05,6.76,7.05,59107560.0,,,
83,2019-03-19,7.1,7.23,7.01,7.14,72066815.0,,,
84,2019-03-20,7.14,7.14,6.85,7.0,51203371.0,,,
85,2019-03-21,7.0,7.18,6.96,7.08,70343131.0,,,
86,2019-03-22,7.08,7.09,6.86,7.01,54896956.0,,,
87,2019-03-25,6.9,6.97,6.75,6.77,54493731.0,,,
88,2019-03-26,6.78,6.87,6.43,6.51,57807208.0,,,
89,2019-03-27,6.56,6.64,6.31,6.43,37494016.0,,,
90,2019-03-28,6.44,6.63,6.33,6.47,41172015.0,,,
91,2019-03-29,6.47,6.69,6.36,6.68,50822592.0,,,
92,2019-04-01,6.69,7.14,6.69,7.11,85124495.0,,,
93,2019-04-02,7.19,7.24,7.0,7.15,87567473.0,,,
94,2019-04-03,7.1,7.18,7.04,7.18,61703183.0,,,
95,2019-04-04,7.2,7.9,7.11,7.7,162244066.0,,,
96,2019-04-08,7.7,8.2,7.62,8.16,185704216.0,,,
97,2019-04-09,8.11,8.13,7.77,7.9,95596423.0,,,
98,2019-04-10,7.8,7.85,7.5,7.7,81487172.0,,,
99,2019-04-11,7.68,8.05,7.64,7.67,86168977.0,,,
100,2019-04-12,7.6,7.78,7.52,7.7,54287647.0,,,
101,2019-04-15,7.86,7.96,7.51,7.51,66267637.0,,,
102,2019-04-16,7.39,7.67,7.22,7.65,63859829.0,,,
103,2019-04-17,7.65,7.88,7.55,7.64,66614436.0,,,
104,2019-04-18,7.58,7.71,7.42,7.45,46070897.0,,,
105,2019-04-19,7.52,7.74,7.33,7.64,58964125.0,,,
106,2019-04-22,7.63,7.64,7.37,7.4,44038008.0,,,
107,2019-04-23,7.4,7.44,7.07,7.12,54079480.0,,,
108,2019-04-24,7.19,7.25,7.0,7.2,33681419.0,,,
109,2019-04-25,7.15,7.26,6.65,6.79,53252870.0,,,
110,2019-04-26,6.71,6.87,6.68,6.76,39608480.0,,,
111,2019-04-29,6.08,6.33,6.08,6.09,112936312.0,,,
112,2019-04-30,6.06,6.18,5.77,5.84,59238207.0,,,
113,2019-05-06,5.62,5.74,5.26,5.26,54527882.0,,,
114,2019-05-07,5.29,5.43,5.17,5.39,41814645.0,,,
115,2019-05-08,5.28,5.77,5.21,5.58,40212248.0,,,
116,2019-05-09,5.51,5.73,5.44,5.5,29374636.0,,,
117,2019-05-10,5.55,5.7,5.26,5.68,37588428.0,,,
118,2019-05-13,5.4,5.56,5.28,5.36,47457255.0,,,
119,2019-05-14,4.93,5.25,4.93,5.15,44817117.0,6.061333333333333,,
120,2019-05-15,5.24,5.67,5.24,5.67,59696898.0,6.052416666666665,,
121,2019-05-16,5.81,5.84,5.47,5.51,67070871.0,6.043249999999999,,
122,2019-05-17,5.55,5.56,5.12,5.17,49543682.0,6.030333333333331,,
123,2019-05-20,5.12,5.19,4.98,5.13,36468947.0,6.014833333333331,,
