,date,open,high,low,close,volume,120,180,240
0,2018-11-13,3.05,3.22,3.03,3.16,19888581.0,,,
1,2018-11-14,3.21,3.36,3.18,3.23,23144078.0,,,
2,2018-11-15,3.18,3.24,3.15,3.24,13057559.0,,,
3,2018-11-16,3.25,3.26,3.19,3.24,9136594.0,,,
4,2018-11-19,3.24,3.31,3.21,3.27,11036053.0,,,
5,2018-11-20,3.27,3.29,3.18,3.18,10476049.0,,,
6,2018-11-21,3.16,3.2,3.12,3.19,7609367.0,,,
7,2018-11-22,3.2,3.2,3.15,3.19,5588742.0,,,
8,2018-11-23,3.19,3.2,3.01,3.04,9479946.0,,,
9,2018-11-26,3.03,3.07,3.02,3.05,3870463.0,,,
10,2018-11-27,3.07,3.09,3.01,3.03,4822100.0,,,
11,2018-11-28,3.03,3.07,3.0,3.07,4992872.0,,,
12,2018-11-29,3.07,3.08,2.96,2.96,8773873.0,,,
13,2018-11-30,2.95,2.98,2.9,2.96,5245801.0,,,
14,2018-12-03,3.03,3.06,3.02,3.03,6544262.0,,,
15,2018-12-04,3.03,3.1,3.02,3.07,8615300.0,,,
16,2018-12-05,3.02,3.25,3.0,3.12,14676970.0,,,
17,2018-12-06,3.07,3.12,3.05,3.06,6246266.0,,,
18,2018-12-07,3.06,3.08,3.02,3.05,3886901.0,,,
19,2018-12-10,3.01,3.03,2.99,3.03,3952535.0,,,
20,2018-12-11,3.03,3.05,3.01,3.04,3437099.0,,,
21,2018-12-12,3.04,3.06,3.01,3.02,2849400.0,,,
22,2018-12-13,3.02,3.06,3.0,3.04,3969115.0,,,
23,2018-12-14,3.02,3.03,2.95,2.96,6623102.0,,,
24,2018-12-17,2.96,2.99,2.92,2.99,4696530.0,,,
25,2018-12-18,2.97,3.02,2.97,3.01,4798751.0,,,
26,2018-12-19,3.04,3.05,2.97,2.99,4247400.0,,,
27,2018-12-20,2.99,3.02,2.93,3.02,6046200.0,,,
28,2018-12-21,2.97,2.98,2.93,2.95,4654099.0,,,
29,2018-12-24,2.94,2.94,2.9,2.93,5800601.0,,,
30,2018-12-25,2.91,2.91,2.8,2.87,6152412.0,,,
31,2018-12-26,2.88,2.89,2.85,2.86,2385328.0,,,
32,2018-12-27,2.89,2.91,2.84,2.84,3737000.0,,,
33,2018-12-28,2.86,2.89,2.83,2.88,3261542.0,,,
34,2019-01-02,2.89,3.0,2.86,2.94,6553201.0,,,
35,2019-01-03,2.95,2.97,2.93,2.95,3476452.0,,,
36,2019-01-04,2.95,3.05,2.92,3.04,7182257.0,,,
37,2019-01-07,3.04,3.12,3.02,3.11,10268430.0,,,
38,2019-01-08,3.03,3.12,3.0,3.07,10082692.0,,,
39,2019-01-09,3.05,3.09,3.04,3.04,12751502.0,,,
40,2019-01-10,3.02,3.07,3.01,3.02,5603973.0,,,
41,2019-01-11,3.02,3.06,3.0,3.0,4728531.0,,,
42,2019-01-14,3.03,3.03,2.96,2.98,6622103.0,,,
43,2019-01-15,2.98,3.02,2.96,3.02,5372127.0,,,
44,2019-01-16,3.02,3.09,3.0,3.08,10329336.0,,,
45,2019-01-17,3.07,3.1,3.04,3.06,7072702.0,,,
