,date,open,high,low,close,volume,120,180,240
0,2019-11-06,18.32,19.54,17.1,17.74,47843863.0,,,
1,2019-11-07,17.27,23.15,17.21,20.95,44049218.0,,,
2,2019-11-08,20.37,20.64,19.28,20.16,29476565.0,,,
3,2019-11-11,20.47,21.3,19.55,20.61,23613978.0,,,
4,2019-11-12,20.4,22.21,19.59,19.93,25395380.0,,,
5,2019-11-13,19.93,23.03,19.42,21.59,33085667.0,,,
6,2019-11-14,20.96,23.34,20.87,21.95,28187681.0,,,
7,2019-11-15,21.61,22.54,20.87,20.87,19411960.0,,,
8,2019-11-18,20.93,21.01,18.75,19.13,21334644.0,,,
9,2019-11-19,19.07,19.43,18.62,19.18,11932965.0,,,
10,2019-11-20,18.99,19.1,18.15,18.24,11885919.0,,,
11,2019-11-21,18.01,18.7,17.93,18.37,7341155.0,,,
12,2019-11-22,18.3,18.42,17.41,17.73,9385272.0,,,
13,2019-11-25,16.77,16.77,15.57,15.74,14513241.0,,,
14,2019-11-26,15.65,16.36,15.57,16.21,8244170.0,,,
15,2019-11-27,16.38,17.08,16.14,16.54,10610269.0,,,
16,2019-11-28,16.48,16.98,16.09,16.15,6162642.0,,,
17,2019-11-29,16.08,16.47,16.07,16.39,3846996.0,,,
18,2019-12-02,16.39,16.54,15.76,15.96,7544605.0,,,
19,2019-12-03,15.76,15.8,15.23,15.51,5157422.0,,,
20,2019-12-04,15.47,15.74,15.24,15.47,3830833.0,,,
21,2019-12-05,15.67,16.33,15.59,16.02,6790752.0,,,
22,2019-12-06,15.82,16.13,15.64,15.87,4991441.0,,,
23,2019-12-09,15.9,16.62,15.87,16.48,6852056.0,,,
24,2019-12-10,16.34,17.7,16.14,17.16,12637089.0,,,
25,2019-12-11,16.88,17.39,16.6,16.67,7659683.0,,,
26,2019-12-12,16.81,17.06,16.6,16.66,4782873.0,,,
27,2019-12-13,16.84,16.93,16.48,16.89,4496373.0,,,
28,2019-12-16,16.9,17.18,16.85,17.15,4833954.0,,,
29,2019-12-17,17.19,17.46,17.02,17.31,6631682.0,,,
30,2019-12-18,17.38,18.26,17.33,17.86,10474716.0,,,
31,2019-12-19,18.17,18.45,17.89,17.97,7907290.0,,,
32,2019-12-20,17.87,18.03,17.67,17.72,5716197.0,,,
33,2019-12-23,17.72,17.77,16.81,16.88,5272585.0,,,
34,2019-12-24,16.95,17.25,16.95,17.16,3083223.0,,,
35,2019-12-25,17.19,17.74,17.11,17.55,4970282.0,,,
36,2019-12-26,17.76,17.93,17.55,17.77,5313225.0,,,
37,2019-12-27,17.92,17.92,17.2,17.27,5345861.0,,,
38,2019-12-30,17.13,17.23,16.74,17.09,3914599.0,,,
39,2019-12-31,17.21,17.34,16.99,17.17,3111402.0,,,
40,2020-01-02,17.32,18.11,17.21,18.1,6994872.0,,,
41,2020-01-03,18.07,18.43,17.9,18.19,6491476.0,,,
42,2020-01-06,17.95,18.82,17.86,18.24,6777856.0,,,
43,2020-01-07,18.38,18.81,18.18,18.77,6047276.0,,,
44,2020-01-08,18.77,19.57,18.45,18.77,8842849.0,,,
45,2020-01-09,19.1,19.42,18.84,19.22,6422926.0,,,
46,2020-01-10,20.46,20.83,19.39,19.47,12002925.0,,,
47,2020-01-13,19.66,22.52,19.58,21.79,14838566.0,,,
48,2020-01-14,22.02,23.48,21.63,22.6,16653685.0,,,
49,2020-01-15,22.64,22.78,21.65,22.6,10926792.0,,,
50,2020-01-16,22.86,24.27,22.64,23.38,13173182.0,,,
51,2020-01-17,23.44,24.51,22.99,24.4,13585301.0,,,
52,2020-01-20,24.33,24.96,23.52,24.22,10925958.0,,,
53,2020-01-21,23.86,23.99,22.24,22.24,10992281.0,,,
54,2020-01-22,21.87,23.42,21.35,23.0,9477418.0,,,
55,2020-01-23,22.6,23.51,21.75,22.24,7696449.0,,,
56,2020-02-03,18.39,20.26,18.33,18.36,9461528.0,,,
57,2020-02-04,18.88,21.29,18.88,20.95,10335024.0,,,
58,2020-02-05,21.14,22.97,21.14,22.49,11174422.0,,,
59,2020-02-06,22.23,24.18,21.86,23.45,10681076.0,,,
60,2020-02-07,23.34,24.45,22.74,24.37,10878655.0,,,
61,2020-02-10,24.15,25.5,23.95,24.58,9843370.0,,,
62,2020-02-11,24.79,24.86,23.44,23.63,7887038.0,,,
63,2020-02-12,23.54,27.62,23.53,26.69,13731765.0,,,
64,2020-02-13,27.12,28.28,25.92,26.46,13754205.0,,,
65,2020-02-14,26.61,27.5,25.94,26.95,10520839.0,,,
66,2020-02-17,27.31,29.26,27.01,27.98,10716882.0,,,
67,2020-02-18,27.98,29.0,27.51,29.0,9450781.0,,,
68,2020-02-19,28.75,31.46,28.6,28.61,12638217.0,,,
69,2020-02-20,28.8,29.39,27.11,27.94,11006669.0,,,
70,2020-02-21,27.96,28.78,27.31,28.0,9356182.0,,,
71,2020-02-24,27.78,28.58,27.07,28.17,7937451.0,,,
72,2020-02-25,27.42,28.18,25.92,27.47,9050015.0,,,
73,2020-02-26,26.61,27.47,24.93,25.22,9735059.0,,,
74,2020-02-27,25.83,27.0,25.37,26.6,9143154.0,,,
75,2020-02-28,25.61,26.39,24.43,24.53,8099368.0,,,
76,2020-03-02,25.02,26.08,24.08,25.68,8110737.0,,,
77,2020-03-03,26.19,27.16,25.63,25.95,8039860.0,,,
78,2020-03-04,25.6,26.06,24.93,25.77,5091726.0,,,
79,2020-03-05,26.22,26.37,25.15,25.32,5409660.0,,,
80,2020-03-06,24.83,24.96,24.15,24.39,5643755.0,,,
81,2020-03-09,23.83,24.01,22.24,22.51,6275670.0,,,
82,2020-03-10,22.09,24.07,22.09,23.9,6232228.0,,,
83,2020-03-11,24.23,24.26,23.04,23.04,4474176.0,,,
84,2020-03-12,22.71,23.49,22.49,23.21,3058090.0,,,
85,2020-03-13,21.86,23.51,21.66,22.98,4800733.0,,,
86,2020-03-16,23.16,23.71,21.86,21.88,4636876.0,,,
87,2020-03-17,22.09,23.35,21.25,22.9,5256387.0,,,
88,2020-03-18,23.25,23.98,22.82,22.84,5116669.0,,,
89,2020-03-19,23.19,23.95,22.83,23.82,5529574.0,,,
90,2020-03-20,24.23,24.49,23.29,23.73,4401308.0,,,
91,2020-03-23,22.64,23.11,21.45,21.66,5247280.0,,,
92,2020-03-24,22.24,22.38,20.64,21.61,4294352.0,,,
93,2020-03-25,22.29,22.59,21.8,21.91,3911472.0,,,
94,2020-03-26,21.75,21.92,20.96,21.04,3456049.0,,,
95,2020-03-27,21.42,21.52,20.47,20.57,2831995.0,,,
96,2020-03-30,20.23,20.23,19.05,19.39,3774829.0,,,
97,2020-03-31,19.62,19.77,19.07,19.21,2501214.0,,,
98,2020-04-01,19.15,20.05,19.07,19.55,3113222.0,,,
99,2020-04-02,19.31,20.46,19.27,20.44,2570911.0,,,
100,2020-04-03,20.37,20.55,19.81,19.98,2179737.0,,,
101,2020-04-07,20.43,20.72,20.38,20.47,2457361.0,,,
102,2020-04-08,20.44,21.34,20.26,20.76,3148889.0,,,
103,2020-04-09,20.71,21.13,20.56,20.74,1818092.0,,,
104,2020-04-10,20.63,20.65,19.51,19.81,2566496.0,,,
105,2020-04-13,19.62,19.81,19.47,19.72,1107935.0,,,
106,2020-04-14,19.83,20.23,19.83,20.16,1470244.0,,,
107,2020-04-15,20.21,20.47,20.18,20.19,1571990.0,,,
108,2020-04-16,20.29,21.23,20.06,20.98,4498728.0,,,
109,2020-04-17,21.49,21.83,21.0,21.55,3909773.0,,,
110,2020-04-20,21.54,22.49,21.41,22.24,3499170.0,,,
