,date,open,high,low,close,volume,120,180,240
0,2018-11-13,2.73,2.84,2.71,2.81,17813986.0,,,
1,2018-11-14,2.81,2.82,2.76,2.79,15307987.0,,,
2,2018-11-15,2.79,2.8,2.76,2.79,10315819.0,,,
3,2018-11-16,2.8,2.81,2.77,2.79,13060014.0,,,
4,2018-11-19,2.78,2.78,2.71,2.73,14440114.0,,,
5,2018-11-20,2.74,2.74,2.69,2.69,8262840.0,,,
6,2018-11-21,2.64,2.68,2.64,2.67,8900467.0,,,
7,2018-11-22,2.68,2.69,2.65,2.67,4156400.0,,,
8,2018-11-23,2.67,2.67,2.54,2.55,12605747.0,,,
9,2018-11-26,2.55,2.59,2.53,2.55,5970688.0,,,
10,2018-11-27,2.59,2.59,2.54,2.55,5157596.0,,,
11,2018-11-28,2.56,2.58,2.52,2.57,4828306.0,,,
12,2018-11-29,2.58,2.59,2.54,2.54,6075806.0,,,
13,2018-11-30,2.53,2.62,2.48,2.59,14791186.0,,,
14,2018-12-03,2.64,2.65,2.61,2.65,10095104.0,,,
15,2018-12-04,2.64,2.66,2.62,2.65,6206419.0,,,
16,2018-12-05,2.63,2.64,2.6,2.64,4539682.0,,,
17,2018-12-06,2.63,2.63,2.59,2.6,4540592.0,,,
18,2018-12-07,2.6,2.61,2.58,2.6,3908600.0,,,
19,2018-12-10,2.59,2.59,2.55,2.56,4057000.0,,,
20,2018-12-11,2.57,2.58,2.55,2.57,3331508.0,,,
21,2018-12-12,2.58,2.59,2.55,2.56,2351200.0,,,
22,2018-12-13,2.57,2.6,2.55,2.59,4954046.0,,,
23,2018-12-14,2.6,2.6,2.54,2.55,3566652.0,,,
24,2018-12-17,2.58,2.58,2.53,2.56,2683536.0,,,
25,2018-12-18,2.53,2.55,2.51,2.54,3449732.0,,,
26,2018-12-19,2.55,2.55,2.48,2.51,3906600.0,,,
27,2018-12-20,2.5,2.51,2.48,2.5,3876128.0,,,
28,2018-12-21,2.49,2.51,2.48,2.5,3816252.0,,,
29,2018-12-24,2.49,2.52,2.48,2.5,3406796.0,,,
30,2018-12-25,2.48,2.48,2.42,2.47,6227760.0,,,
31,2018-12-26,2.44,2.47,2.44,2.46,2918456.0,,,
32,2018-12-27,2.48,2.5,2.42,2.43,3877100.0,,,
33,2018-12-28,2.45,2.46,2.43,2.44,3565218.0,,,
34,2019-01-02,2.44,2.45,2.41,2.41,2824300.0,,,
35,2019-01-03,2.42,2.45,2.39,2.44,3806623.0,,,
36,2019-01-04,2.43,2.51,2.4,2.5,7920333.0,,,
37,2019-01-07,2.53,2.54,2.5,2.52,5107695.0,,,
38,2019-01-08,2.52,2.53,2.49,2.51,3419010.0,,,
39,2019-01-09,2.51,2.54,2.5,2.51,8090908.0,,,
40,2019-01-10,2.51,2.52,2.49,2.49,4324672.0,,,
41,2019-01-11,2.49,2.52,2.48,2.51,4245550.0,,,
42,2019-01-14,2.51,2.56,2.49,2.55,10223754.0,,,
43,2019-01-15,2.53,2.57,2.52,2.54,7049970.0,,,
44,2019-01-16,2.55,2.56,2.51,2.52,6129714.0,,,
45,2019-01-17,2.52,2.53,2.49,2.51,6918020.0,,,
46,2019-01-18,2.52,2.6,2.5,2.57,17195163.0,,,
47,2019-01-21,2.57,2.58,2.54,2.55,9769549.0,,,
48,2019-01-22,2.56,2.61,2.54,2.57,13699582.0,,,
49,2019-01-23,2.58,2.62,2.53,2.61,16595478.0,,,
50,2019-01-24,2.61,2.64,2.58,2.61,12821601.0,,,
51,2019-01-25,2.62,2.62,2.55,2.55,12050200.0,,,
52,2019-01-28,2.57,2.58,2.53,2.53,4617459.0,,,
53,2019-01-29,2.53,2.54,2.49,2.52,6753636.0,,,
54,2019-01-30,2.5,2.52,2.49,2.49,3942912.0,,,
55,2019-01-31,2.48,2.5,2.41,2.46,7641214.0,,,
56,2019-02-01,2.46,2.5,2.45,2.5,4366452.0,,,
57,2019-02-11,2.5,2.54,2.5,2.54,6282668.0,,,
58,2019-02-12,2.55,2.57,2.53,2.57,6585377.0,,,
59,2019-02-13,2.55,2.6,2.55,2.59,9423774.0,,,
60,2019-02-14,2.59,2.59,2.57,2.57,7300103.0,,,
61,2019-02-15,2.58,2.58,2.55,2.55,5660892.0,,,
62,2019-02-18,2.56,2.63,2.55,2.61,13941581.0,,,
63,2019-02-19,2.61,2.62,2.57,2.6,12892349.0,,,
64,2019-02-20,2.61,2.62,2.59,2.62,13590335.0,,,
65,2019-02-21,2.62,2.62,2.58,2.58,16371967.0,,,
66,2019-02-22,2.58,2.61,2.55,2.6,18688041.0,,,
67,2019-02-25,2.61,2.72,2.6,2.71,41955587.0,,,
68,2019-02-26,2.7,2.82,2.67,2.75,46567731.0,,,
69,2019-02-27,2.74,2.82,2.71,2.77,30769107.0,,,
70,2019-02-28,2.76,2.82,2.74,2.78,26250814.0,,,
71,2019-03-01,2.79,2.8,2.72,2.76,21491533.0,,,
72,2019-03-04,2.76,2.85,2.76,2.8,34878653.0,,,
73,2019-03-05,2.78,2.85,2.77,2.84,32521251.0,,,
74,2019-03-06,2.83,2.92,2.81,2.91,49474511.0,,,
75,2019-03-07,2.91,3.03,2.88,3.0,46581265.0,,,
76,2019-03-08,2.93,2.95,2.74,2.78,54288306.0,,,
77,2019-03-11,2.78,2.88,2.78,2.88,26804175.0,,,
78,2019-03-12,2.9,2.94,2.85,2.89,34558370.0,,,
79,2019-03-13,2.91,2.95,2.82,2.84,29523416.0,,,
80,2019-03-14,2.81,2.88,2.73,2.78,26837504.0,,,
81,2019-03-15,2.78,2.84,2.78,2.82,23345396.0,,,
82,2019-03-18,2.81,2.91,2.81,2.91,30732227.0,,,
83,2019-03-19,2.92,2.92,2.86,2.89,24586722.0,,,
84,2019-03-20,3.0,3.15,2.92,3.0,61209437.0,,,
85,2019-03-21,2.99,3.08,2.97,2.99,43884530.0,,,
86,2019-03-22,3.01,3.04,2.96,3.01,31987621.0,,,
87,2019-03-25,2.95,2.99,2.92,2.94,22601120.0,,,
88,2019-03-26,2.94,2.97,2.81,2.85,26443093.0,,,
89,2019-03-27,2.87,3.1,2.81,3.0,44225487.0,,,
90,2019-03-28,3.0,3.22,2.98,3.06,74264118.0,,,
91,2019-03-29,3.03,3.17,2.95,3.1,64343035.0,,,
92,2019-04-01,3.11,3.29,3.08,3.2,72624614.0,,,
93,2019-04-02,3.2,3.3,3.1,3.27,78181845.0,,,
94,2019-04-03,3.21,3.27,3.19,3.24,53892503.0,,,
95,2019-04-04,3.25,3.33,3.21,3.24,56764959.0,,,
96,2019-04-08,3.39,3.49,3.33,3.36,92916466.0,,,
97,2019-04-09,3.33,3.33,3.2,3.23,54590250.0,,,
98,2019-04-10,3.21,3.26,3.16,3.22,31504802.0,,,
99,2019-04-11,3.21,3.21,3.1,3.11,26201024.0,,,
100,2019-04-12,3.11,3.15,3.11,3.14,15871432.0,,,
101,2019-04-15,3.15,3.18,3.03,3.06,34086720.0,,,
102,2019-04-16,3.05,3.08,2.96,3.08,26456247.0,,,
103,2019-04-17,3.09,3.13,3.05,3.1,36528071.0,,,
104,2019-04-18,3.08,3.1,3.05,3.06,23822056.0,,,
105,2019-04-19,3.06,3.28,3.06,3.25,68164282.0,,,
106,2019-04-22,3.4,3.45,3.28,3.28,100155921.0,,,
107,2019-04-23,3.27,3.41,3.2,3.3,77569776.0,,,
108,2019-04-24,3.29,3.63,3.25,3.63,67913504.0,,,
109,2019-04-25,3.98,3.99,3.62,3.64,299157785.0,,,
110,2019-04-26,3.28,3.48,3.28,3.28,192591354.0,,,
111,2019-04-29,3.18,3.24,2.95,2.95,124505048.0,,,
112,2019-04-30,2.85,2.95,2.81,2.9,75741227.0,,,
113,2019-05-06,2.76,2.83,2.61,2.64,69740681.0,,,
114,2019-05-07,2.67,2.81,2.67,2.75,61111848.0,,,
115,2019-05-08,2.65,2.76,2.62,2.69,44286537.0,,,
116,2019-05-09,2.64,2.69,2.62,2.65,34129180.0,,,
117,2019-05-10,2.67,2.76,2.62,2.75,44221452.0,,,
118,2019-05-13,2.7,2.72,2.67,2.69,26924756.0,,,
119,2019-05-14,2.64,2.69,2.62,2.64,26509557.0,2.7531666666666665,,
120,2019-05-15,2.66,2.72,2.65,2.72,37284759.0,2.752416666666667,,
