,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.29,7.74,7.27,7.58,6416608.0,,,
1,2018-11-14,7.53,7.85,7.49,7.68,5958276.0,,,
2,2018-11-15,7.73,7.73,7.58,7.7,3721952.0,,,
3,2018-11-16,7.67,8.14,7.56,8.01,5947049.0,,,
4,2018-11-19,7.94,8.19,7.76,8.19,5460764.0,,,
5,2018-11-20,8.06,8.23,7.75,7.77,5470512.0,,,
6,2018-11-21,7.66,7.78,7.58,7.73,2572449.0,,,
7,2018-11-22,7.72,7.82,7.64,7.67,1390692.0,,,
8,2018-11-23,7.64,7.71,7.25,7.27,3194174.0,,,
9,2018-11-26,7.36,7.62,7.33,7.51,2775928.0,,,
10,2018-11-27,7.65,7.73,7.43,7.52,1944240.0,,,
11,2018-11-28,7.37,7.61,7.36,7.59,1865069.0,,,
12,2018-11-29,7.64,7.66,7.33,7.33,1823032.0,,,
13,2018-11-30,7.33,7.49,7.29,7.46,1349779.0,,,
14,2018-12-03,7.65,7.82,7.59,7.72,2727844.0,,,
15,2018-12-04,7.72,7.76,7.66,7.71,2155700.0,,,
16,2018-12-05,7.53,7.67,7.47,7.64,1873440.0,,,
17,2018-12-06,7.61,7.68,7.42,7.42,1264358.0,,,
18,2018-12-07,7.5,7.68,7.39,7.66,3052129.0,,,
19,2018-12-10,7.63,7.63,7.39,7.43,2333904.0,,,
20,2018-12-11,7.46,7.71,7.46,7.71,2713988.0,,,
21,2018-12-12,7.76,7.76,7.57,7.6,1931856.0,,,
22,2018-12-13,7.66,7.73,7.52,7.63,2336470.0,,,
23,2018-12-14,7.58,8.08,7.58,7.82,8816415.0,,,
24,2018-12-17,7.78,7.78,7.3,7.51,5523212.0,,,
25,2018-12-18,7.41,7.58,7.28,7.31,3613532.0,,,
26,2018-12-19,7.3,7.39,7.03,7.07,3048641.0,,,
27,2018-12-20,7.08,7.26,7.07,7.22,1977400.0,,,
28,2018-12-21,7.13,7.37,7.13,7.24,1498389.0,,,
29,2018-12-24,7.24,7.34,7.08,7.17,2359459.0,,,
30,2018-12-25,7.12,7.17,6.82,6.94,2781123.0,,,
31,2018-12-26,6.96,7.09,6.96,7.01,1274770.0,,,
32,2018-12-27,7.09,7.18,6.69,6.88,1911900.0,,,
33,2018-12-28,6.83,6.97,6.82,6.88,1144494.0,,,
34,2019-01-02,6.98,7.04,6.74,6.79,2197438.0,,,
35,2019-01-03,6.79,6.85,6.69,6.75,1959644.0,,,
36,2019-01-04,6.67,6.9,6.57,6.86,2008263.0,,,
37,2019-01-07,6.88,7.06,6.81,7.03,2227157.0,,,
38,2019-01-08,7.04,7.05,6.92,6.95,1591987.0,,,
39,2019-01-09,6.94,7.02,6.91,6.92,1988319.0,,,
40,2019-01-10,6.99,6.99,6.84,6.86,2145168.0,,,
41,2019-01-11,6.86,6.92,6.81,6.91,1465178.0,,,
42,2019-01-14,6.91,6.96,6.81,6.84,1607000.0,,,
43,2019-01-15,6.86,6.98,6.71,6.98,1821451.0,,,
44,2019-01-16,7.01,7.19,6.94,7.03,3007727.0,,,
45,2019-01-17,7.03,7.14,6.91,7.07,1998631.0,,,
46,2019-01-18,7.03,7.06,6.91,7.0,1843872.0,,,
47,2019-01-21,7.0,7.08,6.95,6.96,1560600.0,,,
48,2019-01-22,6.96,6.96,6.84,6.85,1416825.0,,,
49,2019-01-23,6.84,6.94,6.84,6.89,988010.0,,,
50,2019-01-24,6.89,7.03,6.86,6.99,1556824.0,,,
51,2019-01-25,7.06,7.1,6.88,6.88,1800459.0,,,
52,2019-01-28,6.88,7.01,6.87,6.91,1561100.0,,,
53,2019-01-29,6.88,6.91,6.55,6.7,1708011.0,,,
54,2019-01-30,6.76,6.76,6.6,6.63,905724.0,,,
55,2019-01-31,6.57,6.63,6.09,6.11,3691373.0,,,
56,2019-02-01,6.23,6.72,6.11,6.72,3977084.0,,,
57,2019-02-11,6.84,6.85,6.67,6.77,3711880.0,,,
58,2019-02-12,6.86,6.92,6.73,6.87,2837514.0,,,
59,2019-02-13,6.88,6.98,6.86,6.94,2593117.0,,,
60,2019-02-14,6.91,7.12,6.91,7.02,3264407.0,,,
61,2019-02-15,7.02,7.08,6.94,7.01,2338013.0,,,
62,2019-02-18,7.02,7.29,7.02,7.27,3397706.0,,,
63,2019-02-19,7.27,7.36,7.2,7.35,3965690.0,,,
64,2019-02-20,7.36,7.36,7.22,7.3,2878437.0,,,
65,2019-02-21,7.23,7.51,7.21,7.25,4775482.0,,,
