,date,open,high,low,close,volume,120,180,240
0,2018-11-12,5.77,5.9,5.7,5.87,6829747.0,,,
1,2018-11-13,5.78,6.0,5.77,5.92,12948883.0,,,
2,2018-11-14,5.88,5.97,5.82,5.82,8937975.0,,,
3,2018-11-15,5.94,6.36,5.88,6.13,23420805.0,,,
4,2018-11-16,6.16,6.23,6.05,6.17,17883767.0,,,
5,2018-11-19,6.19,6.29,6.06,6.09,13897920.0,,,
6,2018-11-20,6.02,6.25,5.96,6.06,21085447.0,,,
7,2018-11-21,5.94,6.04,5.89,6.03,9412490.0,,,
8,2018-11-22,6.03,6.08,5.75,5.81,14874449.0,,,
9,2018-11-23,5.74,5.79,5.41,5.46,15024716.0,,,
10,2018-11-26,5.39,5.55,5.34,5.5,5514533.0,,,
11,2018-11-27,5.5,5.57,5.47,5.53,5427950.0,,,
12,2018-11-28,5.53,5.78,5.38,5.63,11253835.0,,,
13,2018-11-29,5.66,5.69,5.48,5.48,6054760.0,,,
14,2018-11-30,5.52,5.65,5.38,5.55,7423210.0,,,
15,2018-12-03,5.66,5.73,5.61,5.69,8788866.0,,,
16,2018-12-04,5.69,5.74,5.62,5.69,7542650.0,,,
17,2018-12-05,5.6,5.6,5.49,5.54,8063181.0,,,
18,2018-12-06,5.53,5.59,5.44,5.46,9093903.0,,,
19,2018-12-07,5.46,5.52,5.45,5.47,3273111.0,,,
20,2018-12-10,5.42,5.49,5.39,5.44,4445615.0,,,
21,2018-12-11,5.44,5.49,5.39,5.45,7331245.0,,,
22,2018-12-12,5.46,5.76,5.44,5.6,13480651.0,,,
23,2018-12-13,5.6,5.65,5.48,5.52,10760043.0,,,
24,2018-12-14,5.5,5.52,5.42,5.44,7118452.0,,,
25,2018-12-17,5.43,5.45,5.29,5.38,4876287.0,,,
26,2018-12-18,5.33,5.43,5.3,5.36,3649573.0,,,
27,2018-12-19,5.37,5.37,5.06,5.16,5816619.0,,,
28,2018-12-20,5.15,5.32,5.14,5.25,5623549.0,,,
29,2018-12-21,5.23,5.43,5.21,5.34,7028694.0,,,
30,2018-12-24,5.31,5.58,5.31,5.44,8585760.0,,,
31,2018-12-25,5.42,5.47,5.24,5.43,7068460.0,,,
32,2018-12-26,5.4,5.55,5.37,5.5,8056946.0,,,
33,2018-12-27,5.6,5.6,5.26,5.33,8716319.0,,,
34,2018-12-28,5.31,5.43,5.31,5.35,4256523.0,,,
35,2019-01-02,5.34,5.37,5.27,5.3,4716319.0,,,
36,2019-01-03,5.31,5.55,5.26,5.49,15312550.0,,,
37,2019-01-04,5.41,5.67,5.4,5.61,21754388.0,,,
38,2019-01-07,5.71,6.17,5.62,6.17,55353180.0,,,
39,2019-01-08,6.19,6.2,5.88,5.92,41793418.0,,,
40,2019-01-09,5.96,6.06,5.86,5.92,29772001.0,,,
41,2019-01-10,5.9,5.97,5.87,5.9,15614163.0,,,
42,2019-01-11,5.98,6.03,5.9,5.99,20552167.0,,,
43,2019-01-14,5.97,5.97,5.8,5.86,16032096.0,,,
44,2019-01-15,5.84,5.96,5.83,5.94,12894074.0,,,
45,2019-01-16,5.92,5.98,5.85,5.86,9248100.0,,,
46,2019-01-17,5.83,5.87,5.68,5.7,14856805.0,,,
47,2019-01-18,5.7,5.75,5.64,5.75,8762953.0,,,
48,2019-01-21,5.72,5.86,5.72,5.84,12885691.0,,,
49,2019-01-22,5.83,5.88,5.73,5.74,7498599.0,,,
50,2019-01-23,5.72,5.79,5.65,5.78,7416780.0,,,
51,2019-01-24,5.76,5.95,5.73,5.94,17078486.0,,,
52,2019-01-25,5.9,6.08,5.87,5.88,20201585.0,,,
53,2019-01-28,5.95,6.1,5.66,5.68,18316360.0,,,
54,2019-01-29,5.65,5.65,5.2,5.56,24181711.0,,,
55,2019-01-30,5.57,5.58,5.35,5.36,11737297.0,,,
56,2019-01-31,5.38,5.48,5.29,5.43,9986230.0,,,
57,2019-02-01,5.41,5.6,5.4,5.53,8771048.0,,,
58,2019-02-11,5.53,5.77,5.53,5.77,9256140.0,,,
59,2019-02-12,5.7,5.83,5.69,5.8,12556847.0,,,
60,2019-02-13,5.83,5.95,5.73,5.86,18683172.0,,,
61,2019-02-14,5.77,5.94,5.77,5.9,13400790.0,,,
62,2019-02-15,5.92,5.94,5.8,5.83,11589468.0,,,
63,2019-02-18,5.87,6.08,5.85,6.03,31608969.0,,,
64,2019-02-19,6.05,6.12,5.91,6.11,28875007.0,,,
65,2019-02-20,6.04,6.39,5.98,6.17,49082324.0,,,
66,2019-02-21,6.12,6.21,5.96,5.98,39599890.0,,,
67,2019-02-22,5.96,6.21,5.92,6.18,31805056.0,,,
68,2019-02-25,6.27,6.64,6.22,6.51,45477933.0,,,
69,2019-02-26,6.52,6.92,6.41,6.52,43826451.0,,,
70,2019-02-27,6.67,6.95,6.51,6.67,44597285.0,,,
71,2019-02-28,6.81,6.96,6.65,6.92,46426741.0,,,
72,2019-03-01,6.92,6.92,6.69,6.84,29006090.0,,,
73,2019-03-04,6.84,7.08,6.78,6.87,46735505.0,,,
74,2019-03-05,6.84,7.5,6.75,7.33,55806490.0,,,
75,2019-03-06,7.34,7.87,7.17,7.8,68140518.0,,,
76,2019-03-07,7.78,8.18,7.61,7.81,46019229.0,,,
77,2019-03-08,7.58,8.13,7.4,7.53,51205767.0,,,
78,2019-03-11,7.64,7.89,7.55,7.85,34184626.0,,,
79,2019-03-12,7.9,8.13,7.79,8.01,43583787.0,,,
80,2019-03-13,8.15,8.15,7.47,7.6,36939828.0,,,
81,2019-03-14,7.4,7.57,6.97,7.13,37606083.0,,,
82,2019-03-15,7.2,7.32,7.15,7.19,23271702.0,,,
83,2019-03-18,7.16,7.35,7.1,7.33,19017916.0,,,
84,2019-03-19,7.33,7.52,7.3,7.42,19047929.0,,,
85,2019-03-20,7.44,7.47,7.16,7.32,19219427.0,,,
86,2019-03-21,7.32,7.44,7.24,7.32,21943409.0,,,
87,2019-03-22,7.32,7.56,7.23,7.56,28383783.0,,,
88,2019-03-25,7.48,8.05,7.4,7.78,50630947.0,,,
89,2019-03-26,7.8,7.86,7.29,7.3,32781670.0,,,
90,2019-03-27,7.35,7.39,7.01,7.2,18113412.0,,,
91,2019-03-28,7.2,7.36,7.11,7.15,14455160.0,,,
92,2019-03-29,7.18,7.38,7.15,7.38,19623984.0,,,
93,2019-04-01,7.4,7.69,7.4,7.61,25853450.0,,,
94,2019-04-02,7.67,7.98,7.65,7.76,40105889.0,,,
95,2019-04-03,7.7,7.93,7.6,7.86,31879184.0,,,
96,2019-04-04,7.88,8.08,7.71,7.99,44557811.0,,,
97,2019-04-08,8.07,8.11,7.55,7.7,38185580.0,,,
98,2019-04-09,7.69,7.77,7.58,7.72,19067110.0,,,
99,2019-04-10,7.61,7.71,7.5,7.67,19577159.0,,,
100,2019-04-11,7.61,7.71,7.4,7.41,17446309.0,,,
101,2019-04-12,7.41,7.46,7.25,7.35,13583579.0,,,
102,2019-04-15,7.43,7.53,7.25,7.28,13498364.0,,,
103,2019-04-16,7.24,7.48,7.11,7.47,19987312.0,,,
104,2019-04-17,7.47,7.6,7.42,7.53,18479171.0,,,
105,2019-04-18,7.54,7.64,7.41,7.49,15168884.0,,,
106,2019-04-19,7.47,7.55,7.3,7.5,14991215.0,,,
107,2019-04-22,7.58,7.58,7.26,7.27,17012130.0,,,
108,2019-04-23,7.27,7.28,7.01,7.05,17524256.0,,,
109,2019-04-24,7.11,7.23,6.95,7.22,12368266.0,,,
110,2019-04-25,7.18,7.19,6.81,6.82,14857730.0,,,
111,2019-04-26,6.75,6.86,6.7,6.75,11281617.0,,,
112,2019-04-29,6.75,6.8,6.27,6.31,18290880.0,,,
113,2019-04-30,6.32,6.47,6.31,6.38,9366970.0,,,
114,2019-05-06,6.17,6.22,5.75,5.89,17495240.0,,,
115,2019-05-07,5.97,6.2,5.86,6.06,11834935.0,,,
116,2019-05-08,5.9,6.38,5.9,6.2,15891653.0,,,
117,2019-05-09,6.15,6.29,6.12,6.18,10701228.0,,,
118,2019-05-10,6.24,6.66,6.17,6.54,23842529.0,,,
119,2019-05-13,6.42,6.54,6.34,6.4,10746928.0,6.345166666666666,,
120,2019-05-14,6.3,6.5,6.27,6.5,12725428.0,6.350416666666665,,
121,2019-05-15,6.5,6.56,6.45,6.55,14371264.0,6.355666666666665,,
122,2019-05-16,6.54,6.64,6.45,6.51,12445111.0,6.361416666666665,,
123,2019-05-17,6.48,6.5,6.13,6.18,14050285.0,6.3618333333333315,,
124,2019-05-20,6.2,6.39,6.14,6.35,12002458.0,6.3633333333333315,,
125,2019-05-21,6.29,6.45,6.25,6.42,11585690.0,6.366083333333331,,
126,2019-05-22,6.59,6.74,6.52,6.53,22738869.0,6.369999999999998,,
127,2019-05-23,6.58,6.75,6.46,6.63,20628794.0,6.374999999999998,,
128,2019-05-24,6.47,6.52,6.11,6.13,18703484.0,6.3776666666666655,,
129,2019-05-27,6.15,6.34,6.06,6.32,11728961.0,6.384833333333332,,
130,2019-05-28,6.32,6.44,6.28,6.3,10239543.0,6.391499999999998,,
131,2019-05-29,6.3,6.48,6.23,6.38,13832581.0,6.398583333333332,,
132,2019-05-30,6.32,6.39,6.25,6.36,10759377.0,6.404666666666666,,
133,2019-05-31,6.33,6.42,6.31,6.35,7790328.0,6.411916666666666,,
134,2019-06-03,6.4,6.46,6.32,6.45,15359931.0,6.419416666666666,,
135,2019-06-04,6.41,6.43,6.16,6.27,14036473.0,6.424249999999999,,
136,2019-06-05,6.31,6.33,6.17,6.22,7195988.0,6.428666666666666,,
137,2019-06-06,6.21,6.25,5.99,6.12,10925861.0,6.433499999999999,,
138,2019-06-10,6.1,6.2,6.08,6.13,6056030.0,6.439083333333332,,
139,2019-06-11,6.13,6.37,6.11,6.35,10683306.0,6.446416666666665,,
140,2019-06-12,6.33,6.41,6.27,6.36,12324822.0,6.454083333333331,,
141,2019-06-13,6.32,6.45,6.31,6.38,10163180.0,6.461833333333331,,
142,2019-06-14,6.44,6.54,6.36,6.41,21060935.0,6.4685833333333305,,
143,2019-06-17,6.43,6.48,6.22,6.27,7580965.0,6.474833333333331,,
