,date,open,high,low,close,volume,10,60,250
0,2020-03-18,18.87,19.12,18.59,18.66,413414.0,,,
1,2020-03-19,18.75,18.84,18.28,18.56,423831.0,,,
2,2020-03-20,18.56,18.97,18.55,18.85,316931.0,,,
3,2020-03-23,18.53,18.79,18.29,18.39,413607.0,,,
4,2020-03-24,18.62,18.82,18.46,18.81,376720.0,,,
5,2020-03-25,19.03,19.21,18.87,19.03,283200.0,,,
6,2020-03-26,19.03,19.03,18.73,18.77,185564.0,,,
7,2020-03-27,18.86,19.02,18.84,18.85,213700.0,,,
8,2020-03-30,18.82,18.82,18.3,18.37,223800.0,,,
9,2020-03-31,18.53,18.85,18.41,18.83,379200.0,18.712,,
10,2020-04-01,19.23,19.87,18.63,19.13,1488785.0,18.759,,
11,2020-04-02,18.45,18.72,18.2,18.69,1012571.0,18.772,,
12,2020-04-03,18.52,18.7,18.34,18.42,424900.0,18.729,,
13,2020-04-07,18.67,18.77,18.53,18.73,423700.0,18.762999999999998,,
14,2020-04-08,18.59,19.02,18.57,18.94,491253.0,18.776,,
15,2020-04-09,18.95,19.05,18.78,18.93,348200.0,18.766,,
16,2020-04-10,19.02,19.05,18.59,18.64,455628.0,18.753,,
17,2020-04-13,18.54,18.68,18.35,18.5,185600.0,18.718,,
18,2020-04-14,18.59,18.82,18.39,18.8,249979.0,18.761000000000003,,
19,2020-04-15,18.87,19.41,18.77,18.82,495159.0,18.76,,
20,2020-04-16,18.82,19.07,18.51,18.82,306552.0,18.729000000000003,,
21,2020-04-17,18.87,19.04,18.75,18.77,231630.0,18.737000000000002,,
22,2020-04-20,18.64,19.06,18.64,18.98,275552.0,18.793,,
23,2020-04-21,18.95,19.1,18.79,19.08,205500.0,18.828,,
24,2020-04-22,19.06,19.38,18.89,19.34,434927.0,18.868000000000002,,
25,2020-04-23,18.97,19.64,18.86,19.26,798098.0,18.901,,
26,2020-04-24,18.95,19.39,18.85,18.89,310928.0,18.926,,
27,2020-04-27,18.78,19.03,18.48,19.03,243400.0,18.979,,
28,2020-04-28,18.96,19.02,18.19,18.48,373251.0,18.946999999999996,,
29,2020-04-29,18.42,18.62,18.3,18.46,205100.0,18.910999999999998,,
30,2020-04-30,18.54,18.97,18.41,18.82,294629.0,18.910999999999998,,
31,2020-05-06,18.57,18.96,18.57,18.92,264000.0,18.925999999999995,,
32,2020-05-07,18.87,18.95,18.78,18.9,167029.0,18.918,,
33,2020-05-08,18.91,19.61,18.89,19.01,374429.0,18.910999999999994,,
34,2020-05-11,19.05,19.07,18.79,19.01,262600.0,18.877999999999993,,
35,2020-05-12,19.01,19.01,18.64,18.96,273100.0,18.847999999999995,,
36,2020-05-13,19.17,19.24,18.91,19.07,461261.0,18.865999999999996,,
37,2020-05-14,18.97,18.97,18.63,18.72,464851.0,18.834999999999997,,
38,2020-05-15,18.84,18.84,18.54,18.64,265700.0,18.850999999999996,,
39,2020-05-18,19.42,19.42,18.55,18.66,368442.0,18.870999999999995,,
40,2020-05-19,18.68,18.84,18.62,18.82,299200.0,18.870999999999995,,
41,2020-05-20,18.68,18.82,18.68,18.76,231900.0,18.854999999999997,,
42,2020-05-21,18.87,18.87,18.5,18.57,291508.0,18.821999999999996,,
43,2020-05-22,18.56,18.62,18.29,18.32,419561.0,18.752999999999993,,
44,2020-05-25,18.28,18.42,17.99,18.33,180118.0,18.684999999999995,,
45,2020-05-26,18.33,18.64,18.29,18.62,374393.0,18.650999999999996,,
46,2020-05-27,18.69,18.7,18.51,18.51,310130.0,18.594999999999995,,
47,2020-05-28,18.47,18.66,18.26,18.38,295611.0,18.560999999999996,,
48,2020-05-29,18.38,18.57,18.19,18.2,808327.0,18.516999999999996,,
49,2020-06-01,18.3,18.62,18.24,18.58,394541.0,18.508999999999993,,
50,2020-06-02,18.59,18.8,18.53,18.76,589914.0,18.502999999999993,,
51,2020-06-03,18.71,18.93,18.67,18.81,524752.0,18.507999999999996,,
52,2020-06-04,18.8,18.95,18.76,18.91,475052.0,18.541999999999994,,
53,2020-06-05,18.87,18.94,18.77,18.78,330600.0,18.587999999999997,,
54,2020-06-08,18.72,18.86,18.56,18.56,427200.0,18.610999999999997,,
55,2020-06-09,18.66,18.71,18.52,18.6,167783.0,18.608999999999995,,
56,2020-06-10,18.6,18.67,18.5,18.52,164387.0,18.609999999999996,,
57,2020-06-11,18.52,18.67,18.33,18.45,338833.0,18.616999999999997,,
58,2020-06-12,18.27,18.53,18.1,18.53,321427.0,18.65,,
59,2020-06-15,18.44,18.76,18.2,18.52,358070.0,18.644,18.734500000000004,
60,2020-06-16,18.49,18.86,18.49,18.81,460923.0,18.649,18.737000000000002,
61,2020-06-17,18.68,18.92,18.68,18.83,531301.0,18.651,18.7415,
62,2020-06-18,18.67,18.83,18.67,18.8,281583.0,18.64,18.740666666666666,
