,date,open,high,low,close,volume,120,180,240
0,2021-03-16,76.0,98.0,76.0,82.13,8048149.0,,,
1,2021-03-17,76.5,88.5,75.79,84.85,5656590.0,,,
2,2021-03-18,83.4,83.96,72.23,72.89,3604504.0,,,
3,2021-03-19,70.01,72.59,68.08,68.2,2286608.0,,,
4,2021-03-22,68.99,71.8,68.0,69.9,1655232.0,,,
5,2021-03-23,69.33,74.0,66.0,72.0,2401057.0,,,
6,2021-03-24,69.9,74.6,69.18,70.31,1359401.0,,,
7,2021-03-25,69.66,71.65,65.01,65.01,1462225.0,,,
8,2021-03-26,64.88,67.4,63.71,66.0,907939.0,,,
9,2021-03-29,65.8,68.8,65.03,66.45,1088636.0,,,
10,2021-03-30,66.0,66.94,63.01,63.1,1155214.0,,,
11,2021-03-31,63.5,63.73,59.56,59.6,1147111.0,,,
12,2021-04-01,59.6,60.37,59.08,59.53,566887.0,,,
13,2021-04-02,59.28,62.28,59.08,61.39,839134.0,,,
14,2021-04-06,61.7,62.78,60.5,61.21,478698.0,,,
15,2021-04-07,61.91,65.0,59.76,63.75,931257.0,,,
16,2021-04-08,63.18,66.66,63.0,63.15,1024928.0,,,
17,2021-04-09,63.1,63.14,60.8,61.0,664493.0,,,
18,2021-04-12,61.4,61.75,59.55,59.84,360474.0,,,
19,2021-04-13,59.18,60.64,59.18,59.93,257423.0,,,
20,2021-04-14,59.91,60.69,59.41,60.18,297955.0,,,
21,2021-04-15,59.33,60.89,59.33,60.71,269677.0,,,
22,2021-04-16,60.26,62.56,59.59,62.17,565679.0,,,
23,2021-04-19,62.15,64.63,61.4,63.6,593217.0,,,
24,2021-04-20,63.5,64.28,61.3,61.3,460055.0,,,
25,2021-04-21,61.31,62.29,60.31,60.91,295718.0,,,
26,2021-04-22,60.4,62.56,60.33,61.75,334909.0,,,
27,2021-04-23,61.2,62.0,60.2,60.24,290474.0,,,
28,2021-04-26,60.28,60.59,58.05,58.5,483384.0,,,
29,2021-04-27,58.05,59.2,55.88,58.96,575245.0,,,
30,2021-04-28,60.6,60.64,57.65,58.19,377685.0,,,
31,2021-04-29,57.98,57.98,56.0,56.11,445230.0,,,
32,2021-04-30,56.49,56.49,54.21,54.46,352176.0,,,
