,date,open,high,low,close,volume,120,180,240
0,2018-11-13,7.05,7.32,7.02,7.23,13877903.0,,,
1,2018-11-14,7.21,7.31,7.13,7.24,9125496.0,,,
2,2018-11-15,7.18,7.35,7.18,7.33,8625069.0,,,
3,2018-11-16,7.35,7.46,7.27,7.37,9581301.0,,,
4,2018-11-19,7.33,8.11,7.24,8.11,26053042.0,,,
5,2018-11-20,8.32,8.77,7.93,7.94,40422000.0,,,
6,2018-11-21,7.51,8.09,7.51,7.76,19431328.0,,,
7,2018-11-22,7.62,7.8,7.57,7.59,10935039.0,,,
8,2018-11-23,7.59,7.96,7.55,7.66,19613173.0,,,
9,2018-11-26,7.65,8.43,7.47,8.21,32885636.0,,,
10,2018-11-27,8.01,8.37,7.88,8.07,23616983.0,,,
11,2018-11-28,7.96,8.0,7.69,7.91,13739583.0,,,
12,2018-11-29,7.95,8.07,7.55,7.57,11443887.0,,,
13,2018-11-30,7.54,7.62,7.18,7.44,11452269.0,,,
14,2018-12-03,7.6,7.7,7.55,7.62,9922893.0,,,
15,2018-12-04,7.6,8.17,7.56,7.97,19535571.0,,,
16,2018-12-05,7.83,8.41,7.67,8.2,30896390.0,,,
17,2018-12-06,8.14,8.35,8.03,8.23,22833684.0,,,
18,2018-12-07,8.23,8.7,8.09,8.51,31123016.0,,,
19,2018-12-10,8.35,9.06,8.28,8.68,30302289.0,,,
20,2018-12-11,8.59,8.75,8.43,8.55,16621529.0,,,
21,2018-12-12,8.51,8.65,8.34,8.35,14873172.0,,,
22,2018-12-13,8.41,8.55,8.26,8.46,13228979.0,,,
23,2018-12-14,8.46,8.68,8.03,8.17,17184857.0,,,
24,2018-12-17,8.11,8.44,7.96,8.33,13401602.0,,,
25,2018-12-18,8.25,8.34,7.84,7.9,14744081.0,,,
26,2018-12-19,7.93,8.03,7.75,7.78,9138768.0,,,
27,2018-12-20,7.81,7.98,7.75,7.87,7590628.0,,,
28,2018-12-21,7.82,7.84,7.62,7.71,7563900.0,,,
29,2018-12-24,7.77,7.83,7.67,7.83,5940188.0,,,
30,2018-12-25,7.72,7.72,7.35,7.64,9705349.0,,,
31,2018-12-26,7.74,8.03,7.68,7.93,14186606.0,,,
32,2018-12-27,8.01,8.06,7.71,7.76,10295165.0,,,
33,2018-12-28,7.83,7.98,7.65,7.78,8525510.0,,,
34,2019-01-02,7.93,8.09,7.55,7.55,18949300.0,,,
35,2019-01-03,7.5,7.57,7.2,7.23,13382500.0,,,
36,2019-01-04,7.13,7.52,7.05,7.4,9416968.0,,,
37,2019-01-07,7.47,7.62,7.45,7.56,9112851.0,,,
38,2019-01-08,7.55,7.68,7.47,7.59,7431610.0,,,
39,2019-01-09,7.6,7.75,7.55,7.59,7438009.0,,,
40,2019-01-10,7.59,7.86,7.59,7.73,11824061.0,,,
41,2019-01-11,7.69,7.93,7.63,7.88,13132516.0,,,
42,2019-01-14,7.9,8.01,7.84,7.88,11048071.0,,,
43,2019-01-15,7.84,8.16,7.81,8.06,16557714.0,,,
44,2019-01-16,8.06,8.51,7.93,8.03,24654934.0,,,
45,2019-01-17,7.89,7.94,7.65,7.74,14669921.0,,,
46,2019-01-18,7.76,7.79,7.67,7.74,7112800.0,,,
47,2019-01-21,7.78,7.81,7.68,7.73,5804000.0,,,
48,2019-01-22,7.79,7.8,7.56,7.65,7294901.0,,,
49,2019-01-23,7.6,7.7,7.58,7.63,4642200.0,,,
50,2019-01-24,7.67,7.67,7.57,7.6,4321200.0,,,
51,2019-01-25,8.0,8.37,7.69,7.71,19447064.0,,,
52,2019-01-28,7.46,7.68,7.46,7.54,10717500.0,,,
53,2019-01-29,7.55,7.58,7.33,7.45,5693985.0,,,
54,2019-01-30,7.44,7.5,7.38,7.38,3956741.0,,,
55,2019-01-31,7.33,7.47,7.25,7.26,5103110.0,,,
56,2019-02-01,7.35,7.5,7.35,7.48,4823644.0,,,
57,2019-02-11,7.52,7.66,7.51,7.64,4600189.0,,,
58,2019-02-12,7.64,7.93,7.62,7.77,7830042.0,,,
59,2019-02-13,7.71,7.88,7.7,7.87,9851712.0,,,
60,2019-02-14,7.84,7.91,7.79,7.91,8778389.0,,,
