,date,open,high,low,close,volume,10,60,250
0,2020-03-18,2.14,2.15,2.1,2.11,6939300.0,,,
1,2020-03-19,2.1,2.11,2.06,2.1,10892938.0,,,
2,2020-03-20,2.1,2.14,2.1,2.12,5796900.0,,,
3,2020-03-23,2.1,2.1,2.07,2.09,5526420.0,,,
4,2020-03-24,2.1,2.12,2.09,2.11,5989600.0,,,
5,2020-03-25,2.14,2.15,2.12,2.14,7945104.0,,,
6,2020-03-26,2.14,2.15,2.12,2.14,7390829.0,,,
7,2020-03-27,2.16,2.16,2.13,2.13,5836261.0,,,
8,2020-03-30,2.12,2.14,2.1,2.13,8149698.0,,,
9,2020-03-31,2.14,2.16,2.12,2.12,7409120.0,2.119,,
10,2020-04-01,2.12,2.16,2.12,2.12,5503384.0,2.12,,
11,2020-04-02,2.12,2.16,2.11,2.15,8245418.0,2.125,,
12,2020-04-03,2.15,2.15,2.12,2.13,5716400.0,2.126,,
13,2020-04-07,2.16,2.16,2.14,2.15,9723900.0,2.1319999999999997,,
14,2020-04-08,2.15,2.2,2.14,2.17,12474226.0,2.1379999999999995,,
15,2020-04-09,2.19,2.19,2.16,2.19,9005528.0,2.143,,
16,2020-04-10,2.19,2.2,2.15,2.16,5593100.0,2.1449999999999996,,
17,2020-04-13,2.16,2.16,2.13,2.15,3557602.0,2.1469999999999994,,
18,2020-04-14,2.14,2.17,2.14,2.16,4581368.0,2.1499999999999995,,
19,2020-04-15,2.17,2.18,2.15,2.16,9909232.0,2.1539999999999995,,
20,2020-04-16,2.15,2.17,2.14,2.17,5780266.0,2.1589999999999994,,
21,2020-04-17,2.17,2.18,2.15,2.16,6516228.0,2.1599999999999993,,
22,2020-04-20,2.16,2.17,2.15,2.16,5225144.0,2.1629999999999994,,
23,2020-04-21,2.15,2.16,2.12,2.14,7788769.0,2.162,,
24,2020-04-22,2.13,2.18,2.12,2.16,9538609.0,2.161,,
25,2020-04-23,2.16,2.18,2.14,2.18,9895809.0,2.1599999999999997,,
26,2020-04-24,2.17,2.18,2.14,2.15,6079300.0,2.159,,
27,2020-04-27,2.15,2.15,2.14,2.14,4421000.0,2.158,,
28,2020-04-28,2.14,2.15,2.07,2.09,12069386.0,2.151,,
29,2020-04-29,2.09,2.11,2.08,2.1,5409920.0,2.145,,
30,2020-04-30,2.1,2.16,2.1,2.15,10125620.0,2.143,,
31,2020-05-06,2.13,2.16,2.13,2.16,7780672.0,2.143,,
32,2020-05-07,2.16,2.17,2.14,2.16,6680578.0,2.143,,
33,2020-05-08,2.16,2.18,2.15,2.17,7856541.0,2.146,,
34,2020-05-11,2.18,2.19,2.15,2.16,8615800.0,2.146,,
35,2020-05-12,2.17,2.17,2.14,2.14,3900800.0,2.1420000000000003,,
36,2020-05-13,2.14,2.15,2.12,2.14,3074600.0,2.1410000000000005,,
37,2020-05-14,2.14,2.14,2.11,2.12,5098788.0,2.1390000000000002,,
38,2020-05-15,2.13,2.15,2.12,2.14,5996504.0,2.1440000000000006,,
39,2020-05-18,2.15,2.18,2.13,2.17,7795420.0,2.1510000000000007,,
40,2020-05-19,2.17,2.19,2.16,2.18,4721462.0,2.154000000000001,,
41,2020-05-20,2.17,2.17,2.14,2.14,4904319.0,2.1520000000000006,,
42,2020-05-21,2.15,2.16,2.13,2.14,4872346.0,2.150000000000001,,
43,2020-05-22,2.15,2.16,2.11,2.13,7740185.0,2.146000000000001,,
44,2020-05-25,2.14,2.22,2.13,2.2,20814921.0,2.150000000000001,,
45,2020-05-26,2.2,2.27,2.18,2.26,24706345.0,2.1620000000000004,,
46,2020-05-27,2.26,2.26,2.2,2.21,18339481.0,2.1690000000000005,,
47,2020-05-28,2.22,2.23,2.18,2.19,15899456.0,2.1760000000000006,,
48,2020-05-29,2.2,2.21,2.18,2.19,8219305.0,2.1810000000000005,,
49,2020-06-01,2.19,2.22,2.18,2.21,11036189.0,2.185000000000001,,
50,2020-06-02,2.21,2.23,2.21,2.23,10752995.0,2.190000000000001,,
51,2020-06-03,2.24,2.26,2.22,2.22,12733364.0,2.198000000000001,,
52,2020-06-04,2.23,2.23,2.2,2.21,9055956.0,2.205000000000001,,
53,2020-06-05,2.22,2.22,2.2,2.21,5180100.0,2.213000000000001,,
54,2020-06-08,2.22,2.24,2.21,2.23,7269450.0,2.216000000000001,,
55,2020-06-09,2.23,2.24,2.21,2.23,5273250.0,2.213000000000001,,
56,2020-06-10,2.23,2.23,2.21,2.22,4950660.0,2.214000000000001,,
57,2020-06-11,2.22,2.23,2.19,2.19,8160950.0,2.214000000000001,,
58,2020-06-12,2.17,2.19,2.15,2.17,11005846.0,2.2120000000000006,,
