,date,open,high,low,close,volume,10,60,250
0,2020-03-18,4.56,4.64,4.39,4.41,66282576.0,,,
1,2020-03-19,4.43,4.66,4.42,4.65,65646599.0,,,
2,2020-03-20,4.69,4.71,4.55,4.64,47925661.0,,,
3,2020-03-23,4.51,4.57,4.4,4.41,43392938.0,,,
4,2020-03-24,4.5,4.57,4.41,4.56,45118198.0,,,
5,2020-03-25,4.66,4.68,4.56,4.59,46947388.0,,,
6,2020-03-26,4.56,4.58,4.43,4.44,39020499.0,,,
7,2020-03-27,4.49,4.5,4.35,4.37,29382563.0,,,
8,2020-03-30,4.3,4.3,4.08,4.14,42612503.0,,,
9,2020-03-31,4.2,4.23,4.11,4.13,24103400.0,4.434,,
10,2020-04-01,4.12,4.23,4.08,4.13,25992698.0,4.406000000000001,,
11,2020-04-02,4.1,4.28,4.09,4.27,30591523.0,4.368,,
12,2020-04-03,4.28,4.28,4.15,4.16,26257012.0,4.32,,
13,2020-04-07,4.25,4.44,4.24,4.42,56929493.0,4.321000000000001,,
14,2020-04-08,4.39,4.65,4.35,4.62,92945976.0,4.327,,
15,2020-04-09,4.9,5.08,4.9,5.08,37878404.0,4.376,,
16,2020-04-10,5.09,5.1,4.57,4.62,146486546.0,4.394,,
17,2020-04-13,4.44,4.57,4.41,4.44,54458974.0,4.401000000000001,,
18,2020-04-14,4.51,4.84,4.47,4.74,84452200.0,4.461,,
19,2020-04-15,4.64,4.76,4.53,4.56,62695801.0,4.5040000000000004,,
20,2020-04-16,4.54,4.81,4.51,4.77,84823789.0,4.568,,
21,2020-04-17,4.76,5.25,4.68,4.97,195868027.0,4.638,,
22,2020-04-20,4.89,5.19,4.81,5.1,144734078.0,4.731999999999999,,
23,2020-04-21,5.01,5.22,4.92,5.02,111840712.0,4.791999999999999,,
24,2020-04-22,4.93,5.12,4.83,5.08,95129530.0,4.837999999999999,,
25,2020-04-23,5.02,5.34,4.91,5.21,143050117.0,4.850999999999999,,
26,2020-04-24,5.18,5.44,5.0,5.03,118895516.0,4.8919999999999995,,
27,2020-04-27,4.93,5.11,4.71,4.75,90909495.0,4.923,,
28,2020-04-28,4.63,4.71,4.28,4.38,108935389.0,4.887,,
29,2020-04-29,4.38,4.43,4.25,4.32,52371012.0,4.8629999999999995,,
30,2020-04-30,4.32,4.47,4.32,4.43,50815817.0,4.828999999999999,,
31,2020-05-06,4.39,4.57,4.37,4.55,52432127.0,4.786999999999999,,
32,2020-05-07,4.57,4.6,4.44,4.46,43157022.0,4.722999999999999,,
33,2020-05-08,4.51,4.62,4.49,4.53,44650412.0,4.6739999999999995,,
34,2020-05-11,4.59,4.62,4.49,4.55,42143510.0,4.6209999999999996,,
35,2020-05-12,4.51,4.53,4.35,4.46,42087686.0,4.545999999999999,,
36,2020-05-13,4.42,4.51,4.41,4.49,31905188.0,4.491999999999999,,
37,2020-05-14,4.45,4.62,4.42,4.54,51665680.0,4.470999999999999,,
38,2020-05-15,4.54,4.6,4.5,4.52,42319321.0,4.4849999999999985,,
39,2020-05-18,4.51,4.51,4.3,4.32,49964906.0,4.4849999999999985,,
40,2020-05-19,4.38,4.39,4.29,4.36,32853595.0,4.477999999999999,,
41,2020-05-20,4.34,4.35,4.21,4.24,35219860.0,4.446999999999999,,
42,2020-05-21,4.24,4.27,4.15,4.15,25802300.0,4.415999999999999,,
43,2020-05-22,4.16,4.23,4.12,4.17,22922559.0,4.379999999999999,,
44,2020-05-25,4.17,4.17,4.08,4.11,21117451.0,4.335999999999999,,
45,2020-05-26,4.12,4.23,4.12,4.21,21945898.0,4.310999999999999,,
46,2020-05-27,4.18,4.19,4.1,4.12,28683000.0,4.273999999999999,,
47,2020-05-28,4.12,4.18,4.1,4.18,23643152.0,4.237999999999999,,
48,2020-05-29,4.15,4.23,4.13,4.17,23217506.0,4.2029999999999985,,
49,2020-06-01,4.18,4.31,4.18,4.3,36352141.0,4.200999999999999,,
50,2020-06-02,4.32,4.33,4.26,4.31,28982177.0,4.195999999999999,,
51,2020-06-03,4.32,4.41,4.27,4.32,45534249.0,4.203999999999999,,
52,2020-06-04,4.32,4.33,4.23,4.25,27914900.0,4.213999999999999,,
