,date,open,high,low,close,volume,120,180,240
0,2018-11-13,2.16,2.3,2.12,2.24,67215293.0,,,
1,2018-11-14,2.13,2.25,2.13,2.16,41532897.0,,,
2,2018-11-15,2.17,2.21,2.13,2.18,19600388.0,,,
3,2018-11-16,2.17,2.28,2.15,2.24,34714297.0,,,
4,2018-11-19,2.32,2.43,2.25,2.27,41430109.0,,,
5,2018-11-20,2.23,2.25,2.14,2.14,25646347.0,,,
6,2018-11-21,2.12,2.18,2.1,2.17,14323459.0,,,
7,2018-11-22,2.17,2.2,2.13,2.17,12208950.0,,,
8,2018-11-23,2.17,2.17,2.04,2.07,16839705.0,,,
9,2018-11-26,2.05,2.09,2.04,2.05,8860627.0,,,
10,2018-11-27,2.07,2.09,2.05,2.07,6514183.0,,,
11,2018-11-28,2.06,2.09,2.03,2.08,10236253.0,,,
12,2018-11-29,2.09,2.11,2.01,2.01,8154650.0,,,
13,2018-11-30,2.01,2.03,1.97,2.02,8580691.0,,,
14,2018-12-03,2.08,2.1,2.06,2.09,11102469.0,,,
15,2018-12-04,2.09,2.1,2.06,2.09,7798151.0,,,
16,2018-12-05,2.05,2.09,2.04,2.08,8526032.0,,,
17,2018-12-06,2.08,2.08,2.04,2.05,6240638.0,,,
18,2018-12-07,2.06,2.07,2.05,2.06,4762431.0,,,
19,2018-12-10,2.04,2.05,2.01,2.04,4266815.0,,,
20,2018-12-11,2.05,2.07,2.03,2.07,5730074.0,,,
21,2018-12-12,2.07,2.12,2.06,2.1,11647604.0,,,
22,2018-12-13,2.1,2.17,2.1,2.14,20056301.0,,,
23,2018-12-14,2.12,2.18,2.12,2.15,20586059.0,,,
24,2018-12-17,2.14,2.26,2.13,2.22,28014947.0,,,
25,2018-12-18,2.2,2.25,2.14,2.18,12088291.0,,,
26,2018-12-19,2.22,2.29,2.19,2.2,23361600.0,,,
27,2018-12-20,2.18,2.22,2.14,2.16,15075522.0,,,
28,2018-12-21,2.18,2.18,2.09,2.1,12686152.0,,,
29,2018-12-24,2.1,2.12,2.09,2.1,8091009.0,,,
30,2018-12-25,2.09,2.12,2.0,2.06,11850381.0,,,
31,2018-12-26,2.07,2.08,2.02,2.03,7351304.0,,,
32,2018-12-27,2.05,2.08,1.99,1.99,8010850.0,,,
33,2018-12-28,1.99,2.05,1.98,2.04,7807796.0,,,
34,2019-01-02,2.04,2.06,2.01,2.02,3965050.0,,,
35,2019-01-03,2.03,2.05,2.0,2.03,5568253.0,,,
36,2019-01-04,2.02,2.08,2.0,2.08,6364400.0,,,
37,2019-01-07,2.11,2.12,2.08,2.09,7188405.0,,,
38,2019-01-08,2.08,2.13,2.08,2.13,9988931.0,,,
39,2019-01-09,2.13,2.15,2.11,2.12,10208953.0,,,
40,2019-01-10,2.12,2.13,2.08,2.09,8041447.0,,,
