,date,open,high,low,close,volume,120,180,240
0,2018-11-13,6.56,6.84,6.51,6.78,12547523.0,,,
1,2018-11-14,6.76,6.84,6.67,6.7,9926812.0,,,
2,2018-11-15,6.78,7.09,6.72,6.97,17960615.0,,,
3,2018-11-16,6.96,7.23,6.85,7.1,18348608.0,,,
4,2018-11-19,7.1,7.13,6.84,7.01,12398997.0,,,
5,2018-11-20,6.91,7.04,6.69,6.72,9844880.0,,,
6,2018-11-21,6.69,6.85,6.64,6.85,6902736.0,,,
7,2018-11-22,7.05,7.2,6.9,6.99,17821513.0,,,
8,2018-11-23,6.96,6.97,6.39,6.44,12290628.0,,,
9,2018-11-26,6.44,6.59,6.38,6.4,4773248.0,,,
10,2018-11-27,6.45,6.59,6.38,6.48,4777466.0,,,
11,2018-11-28,6.49,6.58,6.3,6.57,6659736.0,,,
12,2018-11-29,6.6,6.66,6.31,6.31,6206924.0,,,
13,2018-11-30,6.27,6.45,6.21,6.39,4859881.0,,,
14,2018-12-03,6.65,6.7,6.52,6.6,6839960.0,,,
15,2018-12-04,6.6,6.72,6.57,6.69,6161076.0,,,
16,2018-12-05,6.56,7.1,6.53,6.79,13351564.0,,,
17,2018-12-06,6.72,6.85,6.61,6.66,7391843.0,,,
18,2018-12-07,6.63,6.72,6.56,6.59,4551803.0,,,
19,2018-12-10,6.54,6.58,6.42,6.47,4459057.0,,,
20,2018-12-11,6.5,6.55,6.44,6.51,2813646.0,,,
21,2018-12-12,6.51,6.6,6.48,6.49,2797503.0,,,
22,2018-12-13,6.5,6.65,6.46,6.59,4465903.0,,,
23,2018-12-14,6.6,6.61,6.26,6.28,5597180.0,,,
24,2018-12-17,6.26,6.33,6.14,6.28,3040720.0,,,
25,2018-12-18,6.24,6.3,6.15,6.22,2798759.0,,,
26,2018-12-19,6.23,6.28,6.03,6.09,3198481.0,,,
27,2018-12-20,6.1,6.41,6.09,6.36,7129703.0,,,
28,2018-12-21,6.36,6.38,6.21,6.28,5548592.0,,,
29,2018-12-24,6.19,6.31,6.18,6.27,3179120.0,,,
30,2018-12-25,6.2,6.2,5.87,6.06,6339854.0,,,
31,2018-12-26,6.07,6.18,6.05,6.08,4845782.0,,,
32,2018-12-27,6.2,6.25,5.97,5.99,3418027.0,,,
33,2018-12-28,5.96,6.08,5.96,5.97,2955500.0,,,
34,2019-01-02,6.04,6.04,5.93,5.95,2853180.0,,,
35,2019-01-03,5.97,6.04,5.89,5.9,2865400.0,,,
36,2019-01-04,5.8,6.13,5.78,6.1,5744311.0,,,
37,2019-01-07,6.13,6.23,6.12,6.17,5384684.0,,,
38,2019-01-08,6.21,6.26,6.15,6.19,4343969.0,,,
39,2019-01-09,6.15,6.31,6.15,6.17,6475238.0,,,
40,2019-01-10,6.15,6.25,6.13,6.16,5059304.0,,,
41,2019-01-11,6.21,6.26,6.13,6.24,5563601.0,,,
42,2019-01-14,6.23,6.24,6.03,6.07,5786169.0,,,
43,2019-01-15,6.06,6.2,6.03,6.18,7298469.0,,,
44,2019-01-16,6.21,6.4,6.18,6.19,13971889.0,,,
45,2019-01-17,6.14,6.15,5.97,5.99,11608303.0,,,
46,2019-01-18,5.96,6.01,5.89,5.97,7943186.0,,,
47,2019-01-21,6.0,6.05,5.97,5.99,4550420.0,,,
48,2019-01-22,5.99,5.99,5.83,5.91,6008392.0,,,
49,2019-01-23,5.91,5.93,5.78,5.88,5381985.0,,,
50,2019-01-24,5.87,6.04,5.83,5.95,6414600.0,,,
51,2019-01-25,5.97,5.99,5.85,5.89,5521540.0,,,
52,2019-01-28,5.98,6.1,5.87,5.9,8591736.0,,,
53,2019-01-29,5.97,6.3,5.97,6.04,22845618.0,,,
54,2019-01-30,5.89,5.89,5.57,5.65,16359103.0,,,
55,2019-01-31,5.59,5.75,5.4,5.46,11240215.0,,,
56,2019-02-01,5.49,5.65,5.49,5.65,5827431.0,,,
57,2019-02-11,5.69,5.84,5.66,5.84,7775012.0,,,
58,2019-02-12,5.87,5.89,5.78,5.86,11119396.0,,,
59,2019-02-13,5.87,6.07,5.85,6.06,18983579.0,,,
60,2019-02-14,6.04,6.05,5.94,5.98,18734665.0,,,
61,2019-02-15,5.98,6.05,5.96,5.99,14822086.0,,,
62,2019-02-18,6.02,6.4,6.0,6.33,28446726.0,,,
63,2019-02-19,6.33,6.69,6.24,6.5,36385439.0,,,
64,2019-02-20,6.52,6.53,6.29,6.43,20176516.0,,,
65,2019-02-21,6.37,6.59,6.33,6.38,24559212.0,,,
66,2019-02-22,6.36,7.02,6.32,7.02,46613952.0,,,
67,2019-02-25,7.72,7.72,7.34,7.72,60071260.0,,,
68,2019-02-26,8.14,8.5,7.83,8.04,89906740.0,,,
69,2019-02-27,7.97,8.27,7.52,7.79,66708869.0,,,
70,2019-02-28,7.64,7.86,7.49,7.75,33116596.0,,,
71,2019-03-01,7.64,8.53,7.6,8.12,57430966.0,,,
72,2019-03-04,8.19,8.92,8.09,8.41,64688629.0,,,
73,2019-03-05,8.23,8.63,8.12,8.6,42906190.0,,,
74,2019-03-06,8.45,9.31,8.34,9.01,55957185.0,,,
75,2019-03-07,8.84,9.58,8.65,9.34,59379263.0,,,
76,2019-03-08,8.84,9.23,8.41,8.41,46069977.0,,,
77,2019-03-11,8.56,8.86,8.22,8.82,35607139.0,,,
78,2019-03-12,8.98,9.32,8.62,9.07,48643497.0,,,
79,2019-03-13,8.95,9.01,8.45,8.59,31837357.0,,,
80,2019-03-14,8.44,8.51,7.92,8.19,29635810.0,,,
81,2019-03-15,8.23,8.33,8.06,8.29,20460098.0,,,
82,2019-03-18,8.23,8.45,8.14,8.39,19784920.0,,,
83,2019-03-19,8.4,8.61,8.3,8.4,21214242.0,,,
84,2019-03-20,8.34,8.62,8.16,8.44,22416212.0,,,
85,2019-03-21,8.56,9.08,8.46,8.92,43192280.0,,,
86,2019-03-22,8.81,8.91,8.59,8.75,25059972.0,,,
87,2019-03-25,8.53,8.62,8.29,8.33,23334382.0,,,
88,2019-03-26,8.36,9.12,8.3,8.49,36126817.0,,,
89,2019-03-27,8.59,8.59,8.04,8.35,24786505.0,,,
90,2019-03-28,8.24,8.79,8.15,8.44,26418597.0,,,
91,2019-03-29,8.41,9.28,8.29,9.28,55816142.0,,,
92,2019-04-01,9.73,10.21,9.7,10.21,46181691.0,,,
93,2019-04-02,10.92,11.24,10.63,10.86,122167312.0,,,
94,2019-04-03,10.4,10.78,9.99,10.25,74366382.0,,,
95,2019-04-04,10.3,10.7,9.95,10.49,58356145.0,,,
96,2019-04-08,10.51,10.6,9.88,10.01,43462349.0,,,
97,2019-04-09,9.73,10.21,9.64,9.98,27833623.0,,,
98,2019-04-10,9.84,10.0,9.51,9.87,29637816.0,,,
99,2019-04-11,9.78,10.28,9.78,10.1,32673501.0,,,
100,2019-04-12,10.0,10.1,9.75,9.88,19953888.0,,,
101,2019-04-15,9.99,10.17,9.53,9.53,22972492.0,,,
102,2019-04-16,9.53,9.89,9.3,9.89,21818332.0,,,
103,2019-04-17,9.83,9.97,9.73,9.73,18828562.0,,,
104,2019-04-18,9.7,9.9,9.55,9.71,16510680.0,,,
105,2019-04-19,9.71,10.16,9.69,10.07,27764615.0,,,
106,2019-04-22,10.03,10.03,9.68,9.72,20802530.0,,,
107,2019-04-23,9.64,9.74,9.35,9.42,14596816.0,,,
108,2019-04-24,9.48,9.67,9.32,9.63,12466455.0,,,
109,2019-04-25,9.63,9.63,8.66,8.73,22797182.0,,,
110,2019-04-26,8.83,9.06,8.73,8.75,16106012.0,,,
111,2019-04-29,8.78,8.98,8.2,8.38,16835512.0,,,
112,2019-04-30,8.38,8.65,8.35,8.6,11536680.0,,,
113,2019-05-06,8.07,8.22,7.73,7.73,16342626.0,,,
114,2019-05-07,7.87,7.91,7.39,7.61,14355830.0,,,
115,2019-05-08,7.46,7.87,7.35,7.67,15295811.0,,,
116,2019-05-09,7.69,7.82,7.59,7.59,10620934.0,,,
117,2019-05-10,7.76,8.04,7.5,8.02,19185440.0,,,
118,2019-05-13,7.94,8.1,7.79,7.88,11473775.0,,,
119,2019-05-14,7.85,8.32,7.79,8.09,18928240.0,7.427583333333337,,
120,2019-05-15,8.15,8.18,8.03,8.14,17208831.0,7.438916666666671,,
121,2019-05-16,8.11,8.12,7.97,8.06,11473597.0,7.450250000000003,,
122,2019-05-17,8.05,8.14,7.49,7.55,16527923.0,7.455083333333336,,
123,2019-05-20,7.64,7.78,7.5,7.7,9832240.0,7.460083333333336,,
124,2019-05-21,7.65,8.03,7.63,7.94,11931219.0,7.467833333333337,,
125,2019-05-22,7.85,8.14,7.85,8.01,12251762.0,7.4785833333333365,,
126,2019-05-23,8.11,8.12,7.66,7.73,11607008.0,7.48591666666667,,
127,2019-05-24,7.66,7.8,7.58,7.64,7514681.0,7.491333333333336,,
128,2019-05-27,7.69,7.98,7.64,7.98,11581510.0,7.504166666666669,,
129,2019-05-28,7.96,8.1,7.9,7.94,11949760.0,7.517000000000004,,
130,2019-05-29,7.94,8.05,7.9,7.95,8271220.0,7.529250000000004,,
131,2019-05-30,7.91,7.91,7.62,7.76,9476720.0,7.53916666666667,,
132,2019-05-31,7.76,7.84,7.69,7.73,5760100.0,7.551000000000004,,
133,2019-06-03,7.67,7.88,7.5,7.54,10096310.0,7.560583333333337,,
134,2019-06-04,7.49,7.53,7.16,7.2,9055520.0,7.565583333333337,,
135,2019-06-05,7.3,7.37,7.21,7.25,6542220.0,7.570250000000003,,
136,2019-06-06,7.29,7.3,7.03,7.05,6656886.0,7.57241666666667,,
137,2019-06-10,7.07,7.24,7.0,7.16,6218722.0,7.576583333333336,,
138,2019-06-11,7.16,7.5,7.06,7.46,10745381.0,7.583833333333336,,
139,2019-06-12,7.44,7.57,7.34,7.41,6862537.0,7.5916666666666694,,
140,2019-06-13,7.39,7.57,7.31,7.51,8485702.0,7.600000000000003,,
141,2019-06-14,7.52,7.63,7.27,7.31,7990600.0,7.606833333333336,,
142,2019-06-17,7.28,7.43,7.27,7.43,5429910.0,7.613833333333335,,
143,2019-06-18,7.43,7.54,7.33,7.44,7220576.0,7.623500000000003,,
144,2019-06-19,7.74,7.79,7.51,7.53,9228910.0,7.633916666666669,,
145,2019-06-20,7.5,7.92,7.46,7.82,14966322.0,7.647250000000002,,
146,2019-06-21,8.02,8.19,7.84,8.19,22379037.0,7.664750000000002,,
147,2019-06-24,8.36,8.36,7.92,8.03,16152897.0,7.678666666666669,,
148,2019-06-25,7.98,8.04,7.72,7.86,11946110.0,7.691833333333336,,
149,2019-06-26,7.86,8.24,7.76,7.93,13325590.0,7.705666666666669,,
150,2019-06-27,8.02,8.07,7.86,7.89,11136959.0,7.720916666666669,,
151,2019-06-28,7.82,7.82,7.55,7.68,10212810.0,7.734250000000002,,
152,2019-07-01,7.84,7.99,7.82,7.93,10206031.0,7.750416666666668,,
