,date,open,high,low,close,volume,10,60,250
0,2020-03-19,9.69,9.83,9.29,9.62,14346100.0,,,
1,2020-03-20,9.75,9.76,9.41,9.45,5568000.0,,,
2,2020-03-23,9.14,9.59,8.98,9.19,6426602.0,,,
3,2020-03-24,9.27,9.33,8.27,8.94,8311073.0,,,
4,2020-03-25,9.06,9.21,8.98,9.12,4590732.0,,,
5,2020-03-26,9.21,9.25,8.71,9.12,6562499.0,,,
6,2020-03-27,9.24,9.25,8.84,8.89,6343600.0,,,
7,2020-03-30,8.68,8.8,8.46,8.58,7124967.0,,,
8,2020-03-31,8.69,8.74,8.48,8.59,5459096.0,,,
9,2020-04-01,8.62,8.7,8.41,8.49,4840400.0,8.998999999999999,,
10,2020-04-02,8.42,8.68,8.38,8.67,3555000.0,8.903999999999998,,
11,2020-04-03,8.66,8.66,8.45,8.52,3456600.0,8.810999999999996,,
12,2020-04-07,8.66,9.21,8.6,9.16,8700367.0,8.807999999999996,,
13,2020-04-08,9.01,9.19,8.97,9.07,4875732.0,8.820999999999998,,
14,2020-04-09,9.15,9.15,8.99,9.09,2715500.0,8.817999999999998,,
15,2020-04-10,9.11,9.11,8.9,9.03,2968800.0,8.808999999999997,,
16,2020-04-13,9.19,9.27,9.02,9.18,3966067.0,8.837999999999997,,
17,2020-04-14,9.33,9.33,9.11,9.19,3491600.0,8.898999999999997,,
18,2020-04-15,9.18,9.21,9.06,9.13,2609700.0,8.952999999999998,,
19,2020-04-16,9.08,9.59,9.02,9.23,7163200.0,9.026999999999997,,
20,2020-04-17,9.25,9.25,9.01,9.04,5310900.0,9.063999999999997,,
21,2020-04-20,9.55,9.55,8.99,9.13,5309300.0,9.124999999999996,,
22,2020-04-21,9.08,9.2,8.5,9.13,4891900.0,9.121999999999996,,
23,2020-04-22,9.13,9.13,8.83,9.08,5126202.0,9.122999999999996,,
24,2020-04-23,9.08,9.52,9.03,9.37,11978350.0,9.150999999999996,,
25,2020-04-24,9.29,9.69,9.2,9.52,14900050.0,9.199999999999996,,
26,2020-04-27,9.62,9.74,9.25,9.26,14228900.0,9.207999999999995,,
27,2020-04-28,9.04,9.15,8.42,9.06,15224400.0,9.194999999999997,,
28,2020-04-29,8.87,9.06,8.75,8.98,7774950.0,9.179999999999996,,
29,2020-04-30,8.98,9.35,8.9,9.19,10359674.0,9.175999999999997,,
30,2020-05-06,9.09,9.29,9.05,9.25,9282060.0,9.196999999999997,,
31,2020-05-07,9.21,9.21,9.05,9.08,6083440.0,9.191999999999997,,
32,2020-05-08,9.12,9.12,8.83,8.9,9999074.0,9.168999999999999,,
33,2020-05-11,8.93,9.0,8.9,8.94,4261500.0,9.154999999999998,,
34,2020-05-12,8.94,8.98,8.75,8.88,4951500.0,9.105999999999998,,
35,2020-05-13,8.88,8.92,8.76,8.84,2573400.0,9.037999999999998,,
36,2020-05-14,8.84,8.91,8.76,8.85,2545551.0,8.996999999999996,,
37,2020-05-15,8.89,9.22,8.74,8.98,11020400.0,8.988999999999997,,
38,2020-05-18,8.96,8.96,8.56,8.82,7789900.0,8.972999999999997,,
39,2020-05-19,8.93,8.93,8.79,8.85,3472400.0,8.938999999999997,,
40,2020-05-20,9.01,9.02,8.74,8.86,4135200.0,8.899999999999997,,
41,2020-05-21,8.86,9.0,8.74,8.86,4715300.0,8.877999999999997,,
42,2020-05-22,8.75,8.94,8.62,8.68,4344496.0,8.855999999999998,,
43,2020-05-25,8.82,8.82,8.5,8.66,4123900.0,8.827999999999998,,
44,2020-05-26,8.78,8.82,8.61,8.75,3291300.0,8.814999999999998,,
45,2020-05-27,8.83,8.83,8.65,8.73,4646600.0,8.803999999999998,,
46,2020-05-28,8.64,8.69,8.2,8.51,10087473.0,8.77,,
47,2020-05-29,8.48,8.52,8.35,8.35,4655850.0,8.706999999999997,,
48,2020-06-01,8.35,8.66,8.27,8.61,10742603.0,8.685999999999998,,
49,2020-06-02,8.79,8.92,8.61,8.9,12404423.0,8.690999999999999,,
50,2020-06-03,9.05,9.05,8.78,8.88,6632021.0,8.693,,
51,2020-06-04,8.92,9.0,8.8,8.97,9131195.0,8.703999999999999,,
52,2020-06-05,8.94,8.99,8.79,8.91,6270359.0,8.726999999999999,,
53,2020-06-08,8.9,9.07,8.75,8.8,5812700.0,8.740999999999998,,
54,2020-06-09,8.75,8.77,8.5,8.61,7985055.0,8.726999999999999,,
55,2020-06-10,8.55,8.58,8.4,8.44,7630194.0,8.697999999999997,,
56,2020-06-11,8.38,8.52,8.34,8.41,6299000.0,8.687999999999997,,
57,2020-06-12,8.25,8.36,8.22,8.32,5208700.0,8.684999999999997,,
58,2020-06-15,8.5,8.94,8.42,8.65,21431221.0,8.688999999999997,,
59,2020-06-16,8.68,8.9,8.52,8.67,11102450.0,8.665999999999997,8.916333333333336,
60,2020-06-17,8.88,9.54,8.71,9.54,67419563.0,8.731999999999996,8.915000000000001,
61,2020-06-18,9.6,9.6,8.99,9.05,51122062.0,8.739999999999997,8.908333333333333,
62,2020-06-19,9.29,9.5,8.67,8.84,44020415.0,8.732999999999997,8.9025,
63,2020-06-22,9.0,9.58,8.8,9.14,40734402.0,8.766999999999998,8.905833333333332,
64,2020-06-23,8.94,9.07,8.81,8.9,25500851.0,8.795999999999998,8.902166666666664,
65,2020-06-24,9.06,9.38,8.9,9.13,32591190.0,8.864999999999998,8.902333333333331,
66,2020-06-29,9.3,9.3,8.96,9.18,26907377.0,8.941999999999998,8.907166666666663,
67,2020-06-30,9.04,9.27,9.04,9.23,24370104.0,9.032999999999998,8.917999999999997,
68,2020-07-01,9.22,9.22,8.88,8.98,27922632.0,9.065999999999999,8.924499999999997,
69,2020-07-02,8.95,8.95,8.75,8.81,21918953.0,9.079999999999998,8.92983333333333,
70,2020-07-03,8.83,8.88,8.77,8.83,18280700.0,9.008999999999997,8.932499999999997,
71,2020-07-06,8.88,9.09,8.86,9.05,30382068.0,9.008999999999997,8.94133333333333,
72,2020-07-07,9.08,9.45,9.03,9.3,41899832.0,9.054999999999996,8.943666666666664,
73,2020-07-08,9.3,9.57,9.17,9.48,39272561.0,9.088999999999997,8.950499999999996,
74,2020-07-09,9.5,9.83,9.4,9.73,47360112.0,9.171999999999997,8.961166666666662,
75,2020-07-10,9.8,9.92,9.39,9.45,42885400.0,9.203999999999997,8.968166666666663,
76,2020-07-13,9.45,10.28,9.4,10.15,49573736.0,9.300999999999998,8.98433333333333,
77,2020-07-14,10.22,10.27,9.53,9.67,61789270.0,9.344999999999999,8.99233333333333,
78,2020-07-15,9.75,9.93,9.47,9.58,39075599.0,9.404999999999998,8.99983333333333,
79,2020-07-16,9.68,10.12,9.48,9.68,63930872.0,9.491999999999999,9.007333333333328,
80,2020-07-17,10.01,10.16,9.76,9.94,59968903.0,9.602999999999998,9.02233333333333,
81,2020-07-20,10.15,10.17,9.72,10.06,63080857.0,9.703999999999999,9.03783333333333,
82,2020-07-21,9.97,9.98,9.67,9.79,40742673.0,9.752999999999998,9.048833333333329,
83,2020-07-22,9.79,10.48,9.59,10.16,71688795.0,9.820999999999998,9.066833333333328,
84,2020-07-23,10.01,10.38,9.88,10.26,65453121.0,9.873999999999999,9.08166666666666,
85,2020-07-24,10.15,10.15,9.57,9.79,53412896.0,9.907999999999998,9.08616666666666,
86,2020-07-27,10.02,10.27,9.8,10.15,45485873.0,9.907999999999998,9.100999999999994,
87,2020-07-28,11.17,11.17,10.15,10.15,137062960.0,9.955999999999998,9.119166666666661,
88,2020-07-29,9.7,10.1,9.48,9.88,96583770.0,9.985999999999997,9.13416666666666,
89,2020-07-30,10.04,10.77,10.02,10.26,110178546.0,10.043999999999997,9.151999999999992,
90,2020-07-31,10.5,11.2,10.12,10.79,123116268.0,10.128999999999996,9.177666666666658,
91,2020-08-03,11.09,11.75,10.88,11.24,115533300.0,10.246999999999996,9.213666666666658,
92,2020-08-04,11.21,11.6,10.74,10.88,98014012.0,10.355999999999995,9.246666666666659,
93,2020-08-05,10.71,10.75,10.4,10.7,59375972.0,10.409999999999995,9.275999999999991,
94,2020-08-06,10.7,10.7,10.18,10.33,55434767.0,10.416999999999994,9.300166666666659,
95,2020-08-07,10.23,10.35,9.88,10.05,52605841.0,10.442999999999994,9.320333333333325,
96,2020-08-10,9.99,10.15,9.88,10.07,29033511.0,10.434999999999993,9.340666666666658,
97,2020-08-11,10.04,10.09,9.65,9.7,40866786.0,10.389999999999993,9.352666666666659,
98,2020-08-12,9.58,9.64,9.22,9.43,35562917.0,10.344999999999994,9.362833333333324,
99,2020-08-13,9.44,9.57,9.36,9.45,21475550.0,10.263999999999992,9.372833333333324,
100,2020-08-14,9.42,9.56,9.23,9.53,25040861.0,10.137999999999995,9.38399999999999,
101,2020-08-17,9.56,9.78,9.46,9.66,25759118.0,9.979999999999993,9.397333333333323,
102,2020-08-18,9.66,9.72,9.55,9.6,21975189.0,9.851999999999993,9.412666666666658,
103,2020-08-19,9.58,9.58,9.22,9.27,29615280.0,9.708999999999993,9.422833333333324,
104,2020-08-20,9.2,9.34,9.09,9.28,18174930.0,9.603999999999994,9.431666666666656,
105,2020-08-21,9.37,9.39,9.18,9.23,15531500.0,9.521999999999995,9.43999999999999,
106,2020-08-24,9.34,9.53,9.25,9.48,21520098.0,9.462999999999994,9.456166666666658,
107,2020-08-25,9.49,9.73,9.37,9.69,35418549.0,9.461999999999993,9.478499999999991,
108,2020-08-26,9.69,10.44,9.61,10.17,83841484.0,9.535999999999992,9.50449999999999,
109,2020-08-27,10.1,10.14,9.71,9.99,56344036.0,9.589999999999993,9.522666666666657,
110,2020-08-28,9.9,9.95,9.64,9.85,36454318.0,9.621999999999991,9.538833333333324,
111,2020-08-31,9.84,9.96,9.73,9.73,27995648.0,9.628999999999992,9.551499999999992,
112,2020-09-01,9.69,9.77,9.42,9.65,29209668.0,9.633999999999993,9.563833333333324,
113,2020-09-02,9.68,10.16,9.56,9.99,52093062.0,9.705999999999992,9.583666666666659,
114,2020-09-03,10.03,10.41,9.95,10.09,65781065.0,9.786999999999994,9.608333333333325,
115,2020-09-04,9.75,10.27,9.64,10.19,53188165.0,9.882999999999992,9.637499999999992,
116,2020-09-07,10.2,10.57,10.02,10.3,72798406.0,9.964999999999993,9.668999999999992,
117,2020-09-08,10.22,10.85,10.04,10.77,97510762.0,10.072999999999992,9.709833333333325,
118,2020-09-09,10.58,10.7,10.08,10.15,81874460.0,10.070999999999993,9.734833333333324,
119,2020-09-10,10.25,10.25,9.2,9.37,69866990.0,10.008999999999993,9.746499999999992,
120,2020-09-11,9.23,9.57,9.16,9.5,26233435.0,9.973999999999993,9.745833333333326,
121,2020-09-14,9.5,10.75,9.46,10.42,94813874.0,10.042999999999994,9.76866666666666,
122,2020-09-15,10.42,10.58,10.05,10.24,61808050.0,10.101999999999993,9.791999999999993,
123,2020-09-16,10.32,10.35,9.98,10.12,41124700.0,10.114999999999993,9.808333333333326,
124,2020-09-17,10.18,10.24,9.87,9.99,44767673.0,10.104999999999993,9.826499999999992,
125,2020-09-18,9.94,10.02,9.72,9.96,39411132.0,10.081999999999994,9.840333333333326,
126,2020-09-21,10.0,10.01,9.7,9.7,36287595.0,10.021999999999995,9.848999999999995,
127,2020-09-22,9.62,9.97,9.62,9.73,33167260.0,9.917999999999996,9.857333333333328,
128,2020-09-23,9.75,10.45,9.6,10.09,60525471.0,9.911999999999995,9.875833333333329,
129,2020-09-24,9.98,10.08,9.49,9.49,47243654.0,9.923999999999994,9.887166666666664,
130,2020-09-25,9.52,9.74,9.48,9.56,23557211.0,9.929999999999994,9.899333333333328,
131,2020-09-28,9.55,9.57,9.28,9.32,20864887.0,9.819999999999995,9.90383333333333,
132,2020-09-29,9.31,9.42,9.22,9.33,15827884.0,9.728999999999996,9.904333333333332,
133,2020-09-30,9.38,9.43,9.22,9.22,15671900.0,9.638999999999994,9.899999999999999,
134,2020-10-09,9.38,9.55,9.34,9.46,17344700.0,9.585999999999995,9.895499999999998,
135,2020-10-12,9.53,9.73,9.45,9.71,24028117.0,9.560999999999993,9.899833333333332,
136,2020-10-13,9.67,9.92,9.64,9.8,26529148.0,9.570999999999993,9.893999999999998,
137,2020-10-14,10.0,10.38,9.82,9.91,43776748.0,9.588999999999992,9.897999999999998,
138,2020-10-15,9.9,10.05,9.74,9.79,28157448.0,9.558999999999992,9.901499999999997,
139,2020-10-16,9.78,10.22,9.7,10.17,50178592.0,9.626999999999992,9.909666666666663,
140,2020-10-19,10.11,10.12,9.92,10.0,29462650.0,9.670999999999992,9.910666666666662,
141,2020-10-20,9.99,10.24,9.81,10.2,35078912.0,9.758999999999991,9.912999999999998,
142,2020-10-21,10.2,10.34,9.96,9.96,28319035.0,9.821999999999992,9.915833333333332,
143,2020-10-22,9.93,10.13,9.81,9.99,23117849.0,9.898999999999992,9.913,
144,2020-10-23,10.0,10.09,9.52,9.6,28221300.0,9.912999999999991,9.902,
145,2020-10-26,9.6,9.93,9.55,9.83,18302392.0,9.924999999999992,9.902666666666669,
146,2020-10-27,9.78,9.95,9.73,9.86,17557486.0,9.930999999999992,9.897833333333335,
147,2020-10-28,9.81,9.84,9.61,9.79,16831148.0,9.918999999999992,9.891833333333334,
