,date,open,high,low,close,volume,120,180,240
0,2018-11-13,5.3,5.58,5.28,5.51,10168438.0,,,
1,2018-11-14,5.62,5.64,5.46,5.56,8608161.0,,,
2,2018-11-15,5.56,5.72,5.54,5.69,8200609.0,,,
3,2018-11-16,5.7,5.95,5.66,5.83,10873747.0,,,
4,2018-11-19,5.79,5.89,5.74,5.84,6589671.0,,,
5,2018-11-20,5.78,6.14,5.68,5.74,10917654.0,,,
6,2018-11-21,5.63,5.99,5.63,5.84,9555051.0,,,
7,2018-11-22,5.8,5.88,5.74,5.75,5510317.0,,,
8,2018-11-23,5.74,5.81,5.48,5.54,7635139.0,,,
9,2018-11-26,5.57,5.64,5.43,5.53,6063625.0,,,
10,2018-11-27,5.58,5.66,5.54,5.57,5770402.0,,,
11,2018-11-28,5.56,5.66,5.43,5.65,6938496.0,,,
12,2018-11-29,5.68,5.81,5.44,5.5,8815000.0,,,
13,2018-11-30,5.5,5.59,5.38,5.56,5066179.0,,,
14,2018-12-03,5.71,5.84,5.63,5.73,8058100.0,,,
15,2018-12-04,5.71,5.94,5.66,5.93,11438268.0,,,
16,2018-12-05,5.76,5.97,5.73,5.86,9528822.0,,,
17,2018-12-06,5.83,5.84,5.68,5.7,5800500.0,,,
18,2018-12-07,5.7,5.84,5.64,5.73,4246338.0,,,
19,2018-12-10,5.68,5.89,5.64,5.76,5399462.0,,,
20,2018-12-11,5.78,5.89,5.72,5.87,9390805.0,,,
21,2018-12-12,5.84,5.91,5.8,5.82,5295300.0,,,
22,2018-12-13,5.86,6.24,5.75,6.07,21226865.0,,,
23,2018-12-14,6.01,6.13,5.89,5.95,13660245.0,,,
24,2018-12-17,5.92,5.95,5.73,5.84,7059963.0,,,
25,2018-12-18,5.75,5.87,5.67,5.72,5619574.0,,,
26,2018-12-19,5.75,5.77,5.43,5.44,6875389.0,,,
27,2018-12-20,5.43,5.52,5.38,5.5,4713154.0,,,
28,2018-12-21,5.47,5.5,5.4,5.46,3285646.0,,,
29,2018-12-24,5.45,5.55,5.37,5.52,2945248.0,,,
30,2018-12-25,5.47,5.47,5.08,5.33,6730736.0,,,
31,2018-12-26,5.3,5.36,5.3,5.31,2920900.0,,,
32,2018-12-27,5.4,5.45,5.18,5.19,3794500.0,,,
33,2018-12-28,5.21,5.3,5.17,5.26,2542441.0,,,
34,2019-01-02,5.27,5.3,5.23,5.25,2054031.0,,,
35,2019-01-03,5.28,5.45,5.24,5.37,5254124.0,,,
36,2019-01-04,5.29,5.54,5.25,5.5,6445900.0,,,
37,2019-01-07,5.58,6.05,5.54,6.05,26287418.0,,,
38,2019-01-08,6.24,6.57,6.08,6.15,43101270.0,,,
39,2019-01-09,6.14,6.4,6.06,6.16,29191422.0,,,
40,2019-01-10,6.07,6.32,6.02,6.12,16293252.0,,,
41,2019-01-11,6.13,6.22,6.04,6.19,14241115.0,,,
42,2019-01-14,6.12,6.36,5.97,6.3,18453401.0,,,
43,2019-01-15,6.26,6.3,6.11,6.27,12495889.0,,,
44,2019-01-16,6.3,6.3,6.09,6.14,8969268.0,,,
45,2019-01-17,6.11,6.18,5.98,6.04,9063928.0,,,
46,2019-01-18,6.07,6.25,6.01,6.07,9431990.0,,,
